! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-009 -7.200856406107430E-021 -6.173943239117873E-017  3.335623702629742E-018  0.000000000000000E+000  5.839660783214287E-017
  2.000000000000000E-009 -1.440171121728602E-020 -1.852109233869884E-016  1.000686928500407E-017  0.000000000000000E+000  1.751896523907671E-016
  4.000000000000000E-009 -7.200742207903407E-020 -6.791239604034128E-016  3.669183338521360E-017  0.000000000000000E+000  6.423601195961201E-016
  6.000000000000001E-009 -1.296132113704427E-019 -1.419962465128597E-015  7.671925583797616E-017  0.000000000000000E+000  1.343113596079251E-015
  8.000000000000000E-009 -1.872190156564207E-019 -2.407725054123444E-015  1.300891220604707E-016  0.000000000000000E+000  2.277448713047317E-015
  1.000000000000000E-008 -2.448247836577554E-019 -3.642410343978576E-015  1.968014174699627E-016  0.000000000000000E+000  3.445364101724956E-015
  1.500000000000000E-008 -1.144863646278169E-018 -8.273124859792695E-015  4.469721105377138E-016  0.000000000000000E+000  7.825007885608703E-015
  2.000000000000000E-008 -2.044902945293674E-018 -1.444706302917913E-014  7.805325303010357E-016  0.000000000000000E+000  1.366448559593280E-014
  3.000000000000000E-008 -9.244537198160222E-018 -3.297306064426113E-014  1.781210453549777E-015  0.000000000000000E+000  3.118260565351319E-014
  4.000000000000000E-008 -1.644417942246148E-017 -5.767160710114308E-014  3.115443637841391E-015  0.000000000000000E+000  5.453971928387923E-014
  6.000000000000001E-008 -1.644417903630461E-017 -1.317431131148752E-013  7.118116471772434E-015  0.000000000000000E+000  1.246085524640664E-013
  8.000000000000000E-008 -1.644417944280147E-017 -2.305020487708224E-013  1.245498119135148E-014  0.000000000000000E+000  2.180306234000282E-013
  1.000000000000000E-007 -1.644417857073783E-017 -3.539470314990968E-013  1.912602321774547E-014  0.000000000000000E+000  3.348045641027806E-013
  1.500000000000000E-007 -1.644415997704648E-017 -8.168256867464201E-013  4.414200869090485E-014  0.000000000000000E+000  7.726672338955382E-013
  2.000000000000000E-007 -1.644413849862333E-017 -1.433948951519209E-012  7.749614684465404E-014  0.000000000000000E+000  1.356436360536056E-012
  3.000000000000000E-007 -1.644347305645824E-017 -3.285001316784820E-012  1.775552126028643E-013  0.000000000000000E+000  3.107429660708900E-012
  4.000000000000000E-007 -1.644280508993824E-017 -5.752687026075312E-012  3.109632470807853E-013  0.000000000000000E+000  5.441707336189436E-012
  6.000000000000000E-007 -1.642156630278731E-017 -1.315321361076028E-011  7.111606337070605E-013  0.000000000000000E+000  1.244203655548692E-011
  8.000000000000000E-007 -1.640033561215130E-017 -2.301751893688248E-011  1.244724789423161E-012  0.000000000000000E+000  2.177277774712370E-011
  1.000000000000000E-006 -1.637911177322032E-017 -3.534422830251863E-011  1.911641174265276E-012  0.000000000000000E+000  3.343257074914158E-011
  1.500000000000000E-006 -1.432859963899342E-017 -8.152961304235186E-011  4.412156716999168E-012  0.000000000000000E+000  7.711744199675306E-011
  2.000000000000000E-006 -1.227995034135538E-017 -1.430622666978096E-010  7.745670323349936E-012  0.000000000000000E+000  1.353165840945094E-010
  3.000000000000000E-006  5.209841443793235E-017 -3.273469055621337E-010  1.774288297136508E-011  0.000000000000000E+000  3.096040746891830E-010
  4.000000000000000E-006  1.163606344513694E-016 -5.726823152102221E-010  3.106847951675465E-011  0.000000000000000E+000  5.416139520541019E-010
  6.000000000000000E-006  2.100264876309268E-015 -1.306222122903770E-009  7.101887936822190E-011  0.000000000000000E+000  1.235205343800425E-009
  8.000000000000000E-006  4.077147834075720E-015 -2.281316999793397E-009  1.242542394868569E-010  0.000000000000000E+000  2.157066837454374E-009
  9.999999999999999E-006  6.047105986064867E-015 -3.496667358890403E-009  1.907603947118211E-010  0.000000000000000E+000  3.305913011284568E-009
  1.500000000000000E-005  5.965874769966510E-015 -8.016946853319704E-009  4.397500007367842E-010  0.000000000000000E+000  7.577202818457691E-009
  2.000000000000000E-005  5.885181220025541E-015 -1.400001115343812E-008  7.712485588601708E-010  0.000000000000000E+000  1.322876847975917E-008
