! time                    loop_density            loop_size               
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  6.774589996980885E-026  0.000000000000000E+000
  2.000000000000000E-001  3.883588928289570E-024  2.005061255796782E+000
  3.000000000000000E-001  6.272867237036751E-023  2.005307358967073E+000
  4.000000000000000E-001  3.301601308494261E-022  2.005456917473169E+000
  4.999999999999999E-001  1.158115804395329E-021  2.005586686373833E+000
  6.000000000000000E-001  4.094614542555565E-021  2.005794758612417E+000
  7.000000000000000E-001  1.075236859838620E-020  2.005947625273660E+000
  7.999999999999999E-001  2.397983479717308E-020  2.006078798695917E+000
  8.999999999999999E-001  4.800267846232226E-020  2.006197891159732E+000
  9.999999999999999E-001  8.883575558530195E-020  2.006308986861443E+000
  1.100000000000000E+000  1.547643385298525E-019  2.006414223111556E+000
  1.200000000000000E+000  2.568993385762816E-019  2.006514874746960E+000
  1.400000000000000E+000  7.647147678390804E-019  2.006825744757815E+000
  1.600000000000000E+000  1.833326900392232E-018  2.007065936153829E+000
  1.800000000000000E+000  3.854828996483251E-018  2.007273248535073E+000
  2.000000000000000E+000  7.399234165547154E-018  2.007460897347984E+000
  2.200000000000000E+000  1.326494351191131E-017  2.007635086860807E+000
  2.400000000000000E+000  2.253694704482186E-017  2.007799271537924E+000
  2.600000000000000E+000  3.665303909466494E-017  2.007955601478300E+000
  2.800000000000000E+000  5.747826794113674E-017  2.008105523803417E+000
  3.000000000000000E+000  8.738777690050180E-017  2.008250070275101E+000
  3.200000000000001E+000  1.293581319634513E-016  2.008390009576738E+000
  3.400000000000001E+000  1.870671698633961E-016  2.008525934459164E+000
  3.600000000000001E+000  2.650023407586131E-016  2.008658314774891E+000
  3.800000000000001E+000  3.685774620355505E-016  2.008787531405028E+000
  4.000000000000001E+000  5.042577445252858E-016  2.008913898879072E+000
  4.500000000000001E+000  1.204348379214063E-015  2.009402174481847E+000
  5.000000000000001E+000  2.498265737676043E-015  2.009803299524932E+000
  5.500000000000001E+000  4.710519284052347E-015  2.010156859481847E+000
  6.000000000000001E+000  8.276343795970753E-015  2.010479971833410E+000
  6.500000000000001E+000  1.376165480040532E-014  2.010781623180293E+000
  7.000000000000001E+000  2.188346205889867E-014  2.011067150309697E+000
  7.500000000000001E+000  3.353040520732026E-014  2.011340003188997E+000
  8.000000000000000E+000  4.978309329282611E-014  2.011602553917174E+000
  8.500000000000000E+000  7.193395513992450E-014  2.011856511363341E+000
  9.000000000000000E+000  1.015063382318887E-013  2.012103152231944E+000
  9.500000000000000E+000  1.402726282278499E-013  2.012343458532614E+000
  1.000000000000000E+001  1.902711976603315E-013  2.012578203778391E+000
  1.100000000000000E+001  3.569475414885454E-013  2.013190700800938E+000
  1.200000000000000E+001  6.170429877823030E-013  2.013736273450561E+000
  1.300000000000000E+001  1.002798461172656E-012  2.014238012355435E+000
  1.400000000000000E+001  1.552102448506477E-012  2.014708440567113E+000
  1.500000000000000E+001  2.308543368810996E-012  2.015155121370196E+000
  1.600000000000000E+001  3.321380111660715E-012  2.015582984081767E+000
  1.700000000000000E+001  4.645444214064692E-012  2.015995428437608E+000
  1.800000000000000E+001  6.340987084168885E-012  2.016394903888626E+000
  1.900000000000000E+001  8.473484891156159E-012  2.016783237567052E+000
  2.000000000000000E+001  1.111341249714135E-011  2.017161831510391E+000
  2.200000000000000E+001  1.908882906649756E-011  2.018099420960870E+000
  2.400000000000000E+001  3.047274218927386E-011  2.018940585329967E+000
  2.600000000000000E+001  4.603235899295148E-011  2.019716831746827E+000
  2.800000000000000E+001  6.658112762807643E-011  2.020445645354417E+000
  3.000000000000000E+001  9.297164983126677E-011  2.021137750647835E+000
  3.200000000000000E+001  1.260894756399476E-010  2.021800217490093E+000
  3.400000000000000E+001  1.668476765920668E-010  2.022437967757134E+000
  3.600000000000000E+001  2.161820815546529E-010  2.023054577724311E+000
  3.800000000000000E+001  2.750470657630877E-010  2.023652737342334E+000
  4.000000000000000E+001  3.444117987923437E-010  2.024234528626951E+000
  4.500000000000000E+001  5.996743685149880E-010  2.026072981912639E+000
  5.000000000000000E+001  9.523795612029920E-010  2.027655487099004E+000
  5.500000000000000E+001  1.417966478573537E-009  2.029078695972623E+000
  6.000000000000000E+001  2.011596196580940E-009  2.030390404538919E+000
  6.500000000000000E+001  2.748048856801766E-009  2.031617850877565E+000
  7.000000000000000E+001  3.641642561658158E-009  2.032778154638932E+000
  7.500000000000000E+001  4.706172907108305E-009  2.033882878871735E+000
  8.000000000000000E+001  5.954871129709694E-009  2.034940276669700E+000
  8.500000000000000E+001  7.400378288346434E-009  2.035956500857937E+000
  9.000000000000000E+001  9.054732719693842E-009  2.036936302079293E+000
  9.500000000000000E+001  1.092936811626284E-008  2.037883454700537E+000
  1.000000000000000E+002  1.303511985930743E-008  2.038801028879567E+000
  1.100000000000000E+002  1.825466337106359E-008  2.040824437267057E+000
  1.200000000000000E+002  2.455225527686992E-008  2.042670567611363E+000
  1.300000000000000E+002  3.199009290973564E-008  2.044381666763267E+000
  1.400000000000000E+002  4.062338444943453E-008  2.045984714572899E+000
  1.500000000000000E+002  5.050116004020969E-008  2.047498129950517E+000
  1.600000000000000E+002  6.166704567147524E-008  2.048935145446443E+000
  1.700000000000000E+002  7.415998549930473E-008  2.050305656870475E+000
  1.800000000000000E+002  8.801490565401544E-008  2.051617307825370E+000
  1.900000000000000E+002  1.032633170696174E-007  2.052876161325826E+000
  2.000000000000000E+002  1.199338575990232E-007  2.054087134889149E+000
  2.100000000000000E+002  1.380527753330480E-007  2.055254293247009E+000
  2.200000000000000E+002  1.576443560316165E-007  2.056381051679846E+000
