! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.149508201244165E-006  6.805533193714107E-004  5.857763669271767E-006  3.345691298586381E-002  3.756871783779505E-004  1.882413393941472E-011
  2.000000000000000E-001  2.951138824982148E-006  1.340601971349449E-003  3.838869124330954E-006  5.363983294757815E-002  6.981180169063507E-004  3.072174007262939E-011
  3.000000000000000E-001  2.377379698302663E-006  1.977699236863272E-003  2.982574838039943E-006  6.950895905236563E-002  9.967816476440991E-004  4.024077921317799E-011
  4.000000000000001E-001  2.032724523407185E-006  2.590824290022253E-003  2.495896348173857E-006  8.290185277615883E-002  1.281677380237205E-003  4.832935836641102E-011
  5.000000000000001E-001  1.804871457259307E-006  3.175202345345460E-003  2.183182216058496E-006  9.427862710333143E-002  1.556253183050761E-003  5.520697662711817E-011
  6.000000000000002E-001  1.641393664004346E-006  3.734002356468747E-003  1.962461881931268E-006  1.042640151506402E-001  1.824583916733639E-003  6.123577554259538E-011
  7.000000000000003E-001  1.519054053805900E-006  4.267051439688614E-003  1.798618801969210E-006  1.130502570944375E-001  2.088224668232812E-003  6.652482285068364E-011
  8.000000000000004E-001  1.424664845127117E-006  4.774602399776948E-003  1.672491590518839E-006  1.207760813437653E-001  2.348228414753224E-003  7.115793529332689E-011
  9.000000000000005E-001  1.350135365055272E-006  5.257287840386581E-003  1.572690822068246E-006  1.275510040123168E-001  2.605312314411101E-003  7.520453603630385E-011
  1.000000000000000E+000  1.290203047547300E-006  5.716065473527585E-003  1.491992397887969E-006  1.334676237724120E-001  2.859961798169340E-003  7.872501607939463E-011
  1.100000000000001E+000  1.241286185376582E-006  6.152154262319348E-003  1.425577846197034E-006  1.386080108874974E-001  3.112499505246208E-003  8.177348536151191E-011
  1.200000000000001E+000  1.200857785763242E-006  6.566965203319742E-003  1.370101935488213E-006  1.430470165944876E-001  3.363132792738905E-003  8.439921010123958E-011
  1.300000000000001E+000  1.167082321339431E-006  6.962032242295045E-003  1.323165504864187E-006  1.468539329538664E-001  3.611987405874973E-003  8.664737128012232E-011
  1.400000000000001E+000  1.138594166407743E-006  7.338948541301266E-003  1.283001260240368E-006  1.500932732857565E-001  3.859131800968566E-003  8.855947378007366E-011
  1.500000000000001E+000  1.114356692869078E-006  7.699311854281954E-003  1.248278093650695E-006  1.528251032259451E-001  4.104594934994378E-003  9.017358358481936E-011
  1.600000000000001E+000  1.093569472863826E-006  8.044680924788321E-003  1.217974588390352E-006  1.551051648240250E-001  4.348379366386694E-003  9.152448955763380E-011
  1.700000000000001E+000  1.075605341961879E-006  8.376543173668129E-003  1.191294582492679E-006  1.569849277993623E-001  4.590470921792360E-003  9.264384105722723E-011
  1.800000000000001E+000  1.059966641039641E-006  8.696292777152991E-003  1.167609211561262E-006  1.585116382550311E-001  4.830845808791787E-003  9.356028666088467E-011
  1.900000000000001E+000  1.046254137966415E-006  9.005217585028889E-003  1.146416140846294E-006  1.597283976664822E-001  5.069475807798364E-003  9.429962437740165E-011
  2.000000000000001E+000  1.034144539550597E-006  9.304493098103776E-003  1.127310260592163E-006  1.606742834951550E-001  5.306332008540433E-003  9.488496551042682E-011
  2.100000000000001E+000  1.023373944528593E-006  9.595181775196743E-003  1.109962210760822E-006  1.613845110952657E-001  5.541387439130109E-003  9.533691014368758E-011
  2.200000000000001E+000  1.013892618877105E-006  9.876634126056423E-003  1.094278338273201E-006  1.618512426088349E-001  5.774144083376264E-003  9.565186791206508E-011
  2.300000000000001E+000  1.005299168275477E-006  1.015164348414897E-002  1.079803255398915E-006  1.621543416604791E-001  6.005042006568859E-003  9.587491678156229E-011
  2.400000000000001E+000  9.974585082676768E-007  1.042089450551664E-002  1.066367950703465E-006  1.623161340727049E-001  6.234074127266154E-003  9.601865396118164E-011
  2.500000000000001E+000  9.902573182167244E-007  1.068499320391645E-002  1.053830947167986E-006  1.623564139232752E-001  6.461239236604611E-003  9.609418933917690E-011
  2.600000000000001E+000  9.836003117807623E-007  1.094447432885625E-002  1.042073515721879E-006  1.622926485026504E-001  6.686541643246615E-003  9.611127816061575E-011
  2.700000000000002E+000  9.774072194096120E-007  1.119980852480304E-002  1.030995708161975E-006  1.621401826957544E-001  6.909990777611725E-003  9.607845047324740E-011
  2.800000000000002E+000  9.716103324191292E-007  1.145140914408772E-002  1.020513153174893E-006  1.619124388657140E-001  7.131600764573965E-003  9.600313539385951E-011
  2.900000000000002E+000  9.661524870998858E-007  1.169963862600804E-002  1.010554448406166E-006  1.616211091403210E-001  7.351389975323397E-003  9.589177870136847E-011
  3.000000000000002E+000  9.609853973251838E-007  1.194481439003185E-002  1.001059023172219E-006  1.612763378212460E-001  7.569380569113635E-003  9.574995276752270E-011
  3.100000000000002E+000  9.560682661735690E-007  1.218721421954118E-002  9.919753766353349E-007  1.608868923550051E-001  7.785598034785395E-003  9.558245825073585E-011
  3.200000000000002E+000  9.513666233368060E-007  1.242708113415932E-002  9.832596183368019E-007  1.604603219077006E-001  8.000070740682753E-003  9.539341730689264E-011
  3.300000000000002E+000  9.468513471179278E-007  1.266462776420670E-002  9.748742542898110E-007  1.600031030775737E-001  8.212829500120348E-003  9.518635832467877E-011
  3.400000000000002E+000  9.424978387763016E-007  1.290004025134927E-002  9.667871740104724E-007  1.595207726712467E-001  8.423907158073571E-003  9.496429238426112E-011
  3.500000000000002E+000  9.382853236771914E-007  1.313348170613105E-002  9.589708030558641E-007  1.590180477737164E-001  8.633338203345891E-003  9.472978177803388E-011
  3.600000000000002E+000  9.341962587565757E-007  1.336509525677385E-002  9.514013926495921E-007  1.584989335710563E-001  8.841158409172220E-003  9.448500103014734E-011
  3.700000000000002E+000  9.302158296587510E-007  1.359500672516667E-002  9.440584233831819E-007  1.579668195500528E-001  9.047404504074119E-003  9.423179091569324E-011
  3.800000000000002E+000  9.263315238656724E-007  1.382332696597048E-002  9.369241041991302E-007  1.574245648112437E-001  9.252113873802537E-003  9.397170601750264E-011
  3.900000000000003E+000  9.225327684468409E-007  1.405015390370722E-002  9.299829511876896E-007  1.568745733005841E-001  9.455324294387505E-003  9.370605637417468E-011
  4.000000000000003E+000  9.188106228865677E-007  1.427557430094454E-002  9.232214333821627E-007  1.563188597986033E-001  9.657073695654075E-003  9.343594377196742E-011
  4.100000000000002E+000  9.151575189145630E-007  1.449966528849546E-002  9.166276748758822E-007  1.557591075118528E-001  9.857399954048432E-003  9.316229321953148E-011
  4.200000000000002E+000  9.115670404649703E-007  1.472249568612411E-002  9.101912043255332E-007  1.551967180959802E-001  1.005634071323279E-002  9.288588012148308E-011
  4.300000000000002E+000  9.080337378823402E-007  1.494412713972496E-002  9.039027443368889E-007  1.546328549083510E-001  1.025393323063632E-002  9.260735363726269E-011
  4.400000000000001E+000  9.045529713268687E-007  1.516461509842607E-002  8.977540344152076E-007  1.540684802453645E-001  1.045021424797615E-002  9.232725667789980E-011
  4.500000000000001E+000  9.011207790391688E-007  1.538400965262684E-002  8.917376821523797E-007  1.535043872692343E-001  1.064521988367117E-002  9.204604295703415E-011
  4.600000000000001E+000  8.977337667312200E-007  1.560235625166358E-002  8.858470381535527E-007  1.529412272741553E-001  1.083898554504692E-002  9.176409147532208E-011
  4.700000000000000E+000  8.943890148930468E-007  1.581969631763261E-002  8.800760909060541E-007  1.523795328849086E-001  1.103154585825925E-002  9.148171878032091E-011
  4.800000000000000E+000  8.910840012575477E-007  1.603606776990546E-002  8.744193783853540E-007  1.518197377240170E-001  1.122293461393395E-002  9.119918930798378E-011
  4.899999999999999E+000  8.878165360591200E-007  1.625150547305214E-002  8.688719136943040E-007  1.512621930280043E-001  1.141318472661998E-002  9.091672407762828E-011
