! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.321183162482023E-001  4.500255729904891E-001  4.621562509628918E-001  2.556649725553407E-001
  2.000000000000000E-001  4.528001432898968E-001  4.543362553674675E-001  4.607252677607654E-001  2.556633165519473E-001
  3.000000000000000E-001  4.664594453149226E-001  4.580152762216362E-001  4.613051960897247E-001  2.556641365907713E-001
  4.000000000000001E-001  4.766208939119821E-001  4.613606744463665E-001  4.627145457486549E-001  2.556654277152998E-001
  5.000000000000001E-001  4.850087344274325E-001  4.643457111904259E-001  4.646932044954928E-001  2.556667775917915E-001
  6.000000000000002E-001  4.919771546650842E-001  4.670858952872460E-001  4.669067170601829E-001  2.556680960965256E-001
  7.000000000000003E-001  4.979753033061431E-001  4.695912162079420E-001  4.692924190077043E-001  2.556693355202622E-001
  8.000000000000004E-001  5.032741065175416E-001  4.718720135496397E-001  4.718024842859468E-001  2.556704752649205E-001
  9.000000000000005E-001  5.080489948714030E-001  4.739402862035351E-001  4.743996372905085E-001  2.556715074624727E-001
  1.000000000000000E+000  5.124188100614846E-001  4.758092744152721E-001  4.770540143408635E-001  2.556724309790100E-001
  1.100000000000001E+000  5.164665559227924E-001  4.774930193062786E-001  4.797411760967120E-001  2.556732485709979E-001
  1.200000000000001E+000  5.202515641565658E-001  4.790059516846991E-001  4.824408691486939E-001  2.556739653386104E-001
  1.300000000000001E+000  5.238171276319890E-001  4.803625333730817E-001  4.851362318318262E-001  2.556745877815937E-001
  1.400000000000001E+000  5.271955044910054E-001  4.815769606947018E-001  4.878132555671820E-001  2.556751231726556E-001
  1.500000000000001E+000  5.304112795253777E-001  4.826629318293954E-001  4.904603919769937E-001  2.556755791208460E-001
  1.600000000000001E+000  5.334836465958870E-001  4.836334746087829E-001  4.930682437715341E-001  2.556759632617310E-001
  1.700000000000001E+000  5.364279631059164E-001  4.845008281745793E-001  4.956293051589344E-001  2.556762830388672E-001
  1.800000000000001E+000  5.392568087287303E-001  4.852763703806238E-001  4.981377333465433E-001  2.556765455538215E-001
  1.900000000000001E+000  5.419807070340033E-001  4.859705824806966E-001  5.005891415798813E-001  2.556767574684836E-001
  2.000000000000001E+000  5.446267434419649E-001  4.865761990146935E-001  5.030117390650897E-001  2.556769161712819E-001
  2.100000000000001E+000  5.471821005255406E-001  4.871231200969787E-001  5.053626872347478E-001  2.556770387096762E-001
  2.200000000000002E+000  5.496539127730498E-001  4.876183501924086E-001  5.076434678674603E-001  2.556771296778663E-001
  2.300000000000002E+000  5.520484440458131E-001  4.880682017608511E-001  5.098556879523536E-001  2.556771932208425E-001
  2.400000000000002E+000  5.543712236371491E-001  4.884783396134329E-001  5.120011110813468E-001  2.556772330535522E-001
