! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000001E-001  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000001E-001 -1.278177640861950E-264  0.000000000000000E+000
  6.000000000000002E-001  9.416373969554291E-251  0.000000000000000E+000
  7.000000000000003E-001  1.453354037942971E-238  0.000000000000000E+000
  8.000000000000004E-001  6.755613301233094E-229  0.000000000000000E+000
  9.000000000000005E-001  7.002107324023602E-221  0.000000000000000E+000
  1.000000000000000E+000  4.382713382742289E-214  0.000000000000000E+000
  1.100000000000001E+000  3.289114538400884E-208  0.000000000000000E+000
  1.200000000000001E+000  4.915596621395460E-203  0.000000000000000E+000
  1.300000000000001E+000  2.409993063494698E-198  0.000000000000000E+000
  1.400000000000001E+000  6.718935379086643E-194  0.000000000000000E+000
  1.500000000000001E+000  1.157178312413933E-189  0.000000000000000E+000
  1.600000000000001E+000  9.947117114828909E-186  0.000000000000000E+000
  1.700000000000001E+000  4.156338356572658E-182  0.000000000000000E+000
  1.800000000000001E+000  9.084841673041474E-179  0.000000000000000E+000
  1.900000000000001E+000  1.130102797095509E-175  0.000000000000000E+000
  2.000000000000001E+000  5.841938174756383E-138  0.000000000000000E+000
  2.100000000000001E+000  1.804531023396346E-135  0.000000000000000E+000
  2.200000000000002E+000  2.454109032585486E-133  0.000000000000000E+000
  2.300000000000002E+000  2.000869271278396E-131  0.000000000000000E+000
  2.400000000000002E+000  1.119007698864023E-129  0.000000000000000E+000
  2.500000000000002E+000  4.642394765611427E-128  0.000000000000000E+000
  2.600000000000002E+000  1.505203081751812E-126  0.000000000000000E+000
  2.700000000000002E+000  3.960213115185044E-125  0.000000000000000E+000
  2.800000000000002E+000  8.699608480841413E-124  0.000000000000000E+000
