! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  3.250945686435498E-012  1.067535151204862E+000
  2.000000000000000E-001  1.273447971082588E-011  1.068124498011618E+000
  3.000000000000000E-001  2.885795272247437E-011  1.068315612179063E+000
  4.000000000000000E-001  5.031884419325583E-011  1.068395828104846E+000
  5.000000000000000E-001  7.713309175251376E-011  1.068436326836928E+000
  6.000000000000000E-001  1.093260665588396E-010  1.068462939482369E+000
  8.000000000000000E-001  1.954590035707982E-010  1.068485285576641E+000
  1.000000000000000E+000  3.034969166158069E-010  1.068491525902014E+000
  1.200000000000000E+000  4.336031250029233E-010  1.068490620957661E+000
  1.400000000000000E+000  5.859452295865642E-010  1.068486482676737E+000
  1.600000000000000E+000  7.606946566496258E-010  1.068480910582260E+000
  1.800000000000000E+000  9.580261717729857E-010  1.068474872947822E+000
  2.000000000000000E+000  1.178117484136000E-009  1.068468945728312E+000
  2.500000000000000E+000  1.874582914912223E-009  1.068456288449800E+000
  3.000000000000000E+000  2.720100468543375E-009  1.068453212065985E+000
  3.500000000000000E+000  3.717559593515413E-009  1.068458926424137E+000
  4.000000000000000E+000  4.869912062879411E-009  1.068472631954615E+000
  4.500000000000000E+000  6.180160928369158E-009  1.068493597637662E+000
  5.000000000000000E+000  7.651349451276417E-009  1.068521171591483E+000
  6.000000000000000E+000  1.126625942142577E-008  1.068617760558970E+000
  7.000000000000000E+000  1.557765224198545E-008  1.068733726111777E+000
  8.000000000000000E+000  2.060943853734677E-008  1.068865975354885E+000
  9.000000000000000E+000  2.638526953751580E-008  1.069012335655967E+000
  1.000000000000000E+001  3.292836848799985E-008  1.069171185407194E+000
  1.100000000000000E+001  4.026141011781677E-008  1.069341254456930E+000
  1.200000000000000E+001  4.840644151507616E-008  1.069521506046873E+000
  1.400000000000000E+001  6.812775477683104E-008  1.069991679244739E+000
