! time                    int_diameter            frank_diameter          perfect_diameter        vac_diameter            faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  1.773279750400414E-001  4.132495351365672E-001  4.366009166799822E-001  1.406906623682373E-001  4.633075813014123E-001  2.556643916426875E-001
  1.999999999999999E-001  1.778201862624040E-001  4.305310924231910E-001  4.413749838047458E-001  1.406899905637277E-001  4.621211718045611E-001  2.556634077216606E-001
  2.999999999999999E-001  1.780699887058348E-001  4.422880597960105E-001  4.437814001455660E-001  1.406899528615514E-001  4.629947859241844E-001  2.556646771971219E-001
  3.999999999999999E-001  1.782387890075784E-001  4.516363361795316E-001  4.453039013549599E-001  1.406900500989248E-001  4.649186924052548E-001  2.556662499751202E-001
  4.999999999999999E-001  1.783748975593382E-001  4.591092595232775E-001  4.464399002410833E-001  1.406901865312100E-001  4.672634777838421E-001  2.556678257184939E-001
  6.000000000000000E-001  1.784920400611603E-001  4.653745160235678E-001  4.473367589346138E-001  1.406903316728362E-001  4.698896995865180E-001  2.556693068238451E-001
  7.000000000000001E-001  1.785958360004133E-001  4.708009432557888E-001  4.480635909599509E-001  1.406904730450292E-001  4.727076284358814E-001  2.556706600465403E-001
  8.000000000000002E-001  1.786886640285473E-001  4.756151614709711E-001  4.486582199838545E-001  1.406906050652136E-001  4.756549556182719E-001  2.556718757417449E-001
  9.000000000000002E-001  1.787715434468161E-001  4.799652085462277E-001  4.491439693879918E-001  1.406907252631126E-001  4.786857672046662E-001  2.556729544316667E-001
  1.000000000000000E+000  1.788449739830359E-001  4.839515650798723E-001  4.495368219393595E-001  1.406908327457043E-001  4.817647575210679E-001  2.556739015738891E-001
  1.100000000000000E+000  1.789065877208494E-001  4.876991002111164E-001  4.498265110164928E-001  1.406909242505280E-001  4.849660519857208E-001  2.556746970811248E-001
  1.200000000000000E+000  1.789601076848313E-001  4.911890199598342E-001  4.500504644234182E-001  1.406910042069493E-001  4.881269469367636E-001  2.556753851358147E-001
  1.300000000000000E+000  1.790059975278097E-001  4.944615332661346E-001  4.502159091732794E-001  1.406910732759490E-001  4.912416567730999E-001  2.556759746965749E-001
  1.400000000000001E+000  1.790447861488123E-001  4.975471230673645E-001  4.503292142053988E-001  1.406911322612314E-001  4.943038131032824E-001  2.556764748076465E-001
  1.500000000000001E+000  1.790770496342356E-001  5.004695149181454E-001  4.503961709618729E-001  1.406911820329115E-001  4.973073739027942E-001  2.556768943648713E-001
  1.600000000000001E+000  1.791033863015166E-001  5.032476556585174E-001  4.504220862908856E-001  1.406912234772865E-001  5.002470691923934E-001  2.556772419127479E-001
  1.700000000000001E+000  1.791243937730129E-001  5.058970420283262E-001  4.504118340176738E-001  1.406912574638624E-001  5.031185920210829E-001  2.556775255144757E-001
  1.800000000000001E+000  1.791406509176713E-001  5.084306184355191E-001  4.503698859107574E-001  1.406912848240987E-001  5.059186472121761E-001  2.556777526743948E-001
  1.900000000000001E+000  1.791527052111586E-001  5.108593886824455E-001  4.503003331034184E-001  1.406913063383007E-001  5.086449207361000E-001  2.556779302983697E-001
  2.000000000000001E+000  1.791610649463268E-001  5.131928381568154E-001  4.502069038107097E-001  1.406913227282387E-001  5.112960059783715E-001  2.556780646816000E-001
  2.100000000000001E+000  1.791661953068338E-001  5.154392307535426E-001  4.500929802639232E-001  1.406913346538060E-001  5.138713083742436E-001  2.556781615160021E-001
  2.200000000000001E+000  1.791685172755838E-001  5.176058230589794E-001  4.499616161607295E-001  1.406913427124990E-001  5.163709413619946E-001  2.556782259112194E-001
  2.300000000000001E+000  1.791684084822008E-001  5.196990237017236E-001  4.498155550467464E-001  1.406913474408416E-001  5.187956215399887E-001  2.556782624247648E-001
  2.400000000000001E+000  1.791662052825492E-001  5.217245160105105E-001  4.496572495883570E-001  1.406913493171082E-001  5.211465678053779E-001  2.556782750979006E-001
  2.500000000000001E+000  1.791622055484879E-001  5.236873556767813E-001  4.494888814840854E-001  1.406913487648720E-001  5.234254072922353E-001  2.556782674947141E-001
  2.600000000000001E+000  1.791566718024638E-001  5.255920509223538E-001  4.493123816851771E-001  1.406913461570332E-001  5.256340896598307E-001  2.556782427424986E-001
  2.700000000000002E+000  1.791498344528820E-001  5.274426299745989E-001  4.491294505920373E-001  1.406913418200730E-001  5.277748104471082E-001  2.556782035720678E-001
  2.800000000000002E+000  1.791418949750314E-001  5.292426989399917E-001  4.489415779251995E-001  1.406913360383528E-001  5.298499436537299E-001  2.556781523570091E-001
  2.900000000000002E+000  1.791330289445830E-001  5.309954920948322E-001  4.487500620167296E-001  1.406913290583281E-001  5.318619833381243E-001  2.556780911511946E-001
  3.000000000000002E+000  1.791233888727087E-001  5.327039159481269E-001  4.485560283190707E-001  1.406913210925901E-001  5.338134937806579E-001  2.556780217240955E-001
  3.100000000000002E+000  1.791131068192864E-001  5.343705880243295E-001  4.483604469774464E-001  1.406913123236737E-001  5.357070676075339E-001  2.556779455936182E-001
  3.200000000000002E+000  1.791022967779075E-001  5.359978710648874E-001  4.481641493563698E-001  1.406913029075990E-001  5.375452911829783E-001  2.556778640563261E-001
  3.400000000000002E+000  1.790792014711921E-001  5.391596334025253E-001  4.477712992028056E-001  1.406912823778003E-001  5.411013280135785E-001  2.556776868073783E-001
  3.600000000000002E+000  1.790552026223344E-001  5.421847928543142E-001  4.473840766562325E-001  1.406912608279883E-001  5.444572890266693E-001  2.556775009663031E-001
  3.800000000000002E+000  1.790306659545345E-001  5.450859589400817E-001  4.470048803909429E-001  1.406912387385630E-001  5.476341652152154E-001  2.556773105194997E-001
  4.000000000000003E+000  1.790058600765491E-001  5.478738120523747E-001  4.466353383143788E-001  1.406912164507011E-001  5.506502941041826E-001  2.556771182999417E-001
  4.200000000000003E+000  1.789809794313914E-001  5.505574998142799E-001  4.462764950244842E-001  1.406911942018861E-001  5.535216952808166E-001  2.556769262816396E-001
  4.400000000000003E+000  1.789561623910336E-001  5.531449407495368E-001  4.459289592832906E-001  1.406911721535142E-001  5.562623594379585E-001  2.556767358080867E-001
  4.600000000000003E+000  1.789315054209109E-001  5.556430574253881E-001  4.455930205429010E-001  1.406911504119565E-001  5.588845049815593E-001  2.556765477664773E-001
  4.800000000000003E+000  1.789070740449788E-001  5.580579561716497E-001  4.452687393187681E-001  1.406911290443721E-001  5.613988079602075E-001  2.556763627185154E-001
  5.000000000000004E+000  1.788829112332905E-001  5.603950664571508E-001  4.449560160378028E-001  1.406911080904013E-001  5.638146076352636E-001  2.556761809972053E-001
  5.200000000000004E+000  1.788590437397114E-001  5.626592498495522E-001  4.446546425858924E-001  1.406910875706910E-001  5.661400889027187E-001  2.556760027774864E-001
  5.400000000000004E+000  1.788354868316701E-001  5.648548860358459E-001  4.443643402459851E-001  1.406910674930261E-001  5.683824426828884E-001  2.556758281270871E-001
  5.600000000000004E+000  1.788122477760642E-001  5.669859415004268E-001  4.440847871387537E-001  1.406910478566794E-001  5.705480056469486E-001  2.556756570426528E-001
  5.800000000000004E+000  1.787893283761770E-001  5.690560250290422E-001  4.438156377121396E-001  1.406910286554560E-001  5.726423809392659E-001  2.556754894750674E-001
  6.000000000000004E+000  1.787667267942878E-001  5.710684331328886E-001  4.435565363102312E-001  1.406910098797938E-001  5.746705417572073E-001  2.556753253469496E-001
  6.200000000000005E+000  1.787444388436635E-001  5.730261876873187E-001  4.433071264044190E-001  1.406909915181911E-001  5.766369197347838E-001  2.556751645645630E-001
  6.400000000000005E+000  1.787224588914330E-001  5.749320674888859E-001  4.430670566962828E-001  1.406909735581595E-001  5.785454800546267E-001  2.556750070257824E-001
  6.600000000000005E+000  1.787007804797011E-001  5.767886350009374E-001  4.428359849996069E-001  1.406909559868476E-001  5.803997851112773E-001  2.556748526253153E-001
  6.800000000000005E+000  1.786793967451924E-001  5.785982592411881E-001  4.426135805709787E-001  1.406909387914380E-001  5.822030483962430E-001  2.556747012580383E-001
  7.000000000000005E+000  1.786583006966506E-001  5.803631355336829E-001  4.423995253752196E-001  1.406909219593916E-001  5.839581800964107E-001  2.556745528210523E-001
  7.500000000000005E+000  1.786070894569498E-001  5.846252633199680E-001  4.419022886975951E-001  1.406908816750459E-001  5.882022012883525E-001  2.556741964558623E-001
  8.000000000000005E+000  1.785574049254917E-001  5.886415890049584E-001  4.414493762103730E-001  1.406908432887397E-001  5.921858917790237E-001  2.556738552785449E-001
  8.500000000000005E+000  1.785092168418001E-001  5.924375438968115E-001  4.410375206607182E-001  1.406908067094415E-001  5.959401254591491E-001  2.556735285759170E-001
  9.000000000000005E+000  1.784624717839747E-001  5.960345771557163E-001  4.406635649697918E-001  1.406907718284036E-001  5.994905526464372E-001  2.556732154710361E-001
  9.500000000000005E+000  1.784171093942695E-001  5.994510277357825E-001  4.403245817663340E-001  1.406907385375980E-001  6.028585957876083E-001  2.556729150864961E-001
  1.000000000000001E+001  1.783730697818735E-001  6.027027336390287E-001  4.400178992842619E-001  1.406907067362149E-001  6.060623067792892E-001  2.556726266017867E-001
  1.050000000000001E+001  1.783302963173530E-001  6.058034859510205E-001  4.397410924377984E-001  1.406906763322957E-001  6.091170463581435E-001  2.556723492682502E-001
  1.100000000000001E+001  1.782887363561637E-001  6.087653790208415E-001  4.394919620751953E-001  1.406906472425361E-001  6.120360089158640E-001  2.556720824080576E-001
  1.150000000000001E+001  1.782483411399251E-001  6.115990862575995E-001  4.392685117765764E-001  1.406906193915000E-001  6.148306265833959E-001  2.556718254079605E-001
  1.200000000000001E+001  1.782090654267271E-001  6.143140805825745E-001  4.390689257241789E-001  1.406905927107207E-001  6.175108823199424E-001  2.556715777119617E-001
  1.250000000000001E+001  1.781708670730601E-001  6.169188127225350E-001  4.388915487636115E-001  1.406905671378549E-001  6.200855549830162E-001  2.556713388143753E-001
  1.300000000000001E+001  1.781337066471362E-001  6.194208568567598E-001  4.387348688313766E-001  1.406905426159369E-001  6.225624133542232E-001  2.556711082536829E-001
  1.350000000000001E+001  1.780975470954248E-001  6.218270306582914E-001  4.385975015875827E-001  1.406905190927368E-001  6.249483714999922E-001  2.556708856072354E-001
  1.400000000000001E+001  1.780623534626682E-001  6.241434950331904E-001  4.384781769975684E-001  1.406904965202083E-001  6.272496145086377E-001  2.556706704867110E-001
  1.450000000000001E+001  1.780280926588129E-001  6.263758376076973E-001  4.383757276010289E-001  1.406904748540184E-001  6.294717012619038E-001  2.556704625342269E-001
  1.500000000000001E+001  1.779947332650525E-001  6.285291430909088E-001  4.382890782319207E-001  1.406904540531410E-001  6.316196491987578E-001  2.556702614189947E-001
  1.550000000000001E+001  1.779622453718272E-001  6.306080529526638E-001  4.382172369840056E-001  1.406904340795082E-001  6.336980048073828E-001  2.556700668344402E-001
  1.600000000000001E+001  1.779306004427506E-001  6.326168163371717E-001  4.381592872472548E-001  1.406904148977064E-001  6.357109026940446E-001  2.556698784957048E-001
  1.650000000000001E+001  1.778997711995522E-001  6.345593337372031E-001  4.381143806670584E-001  1.406903964747132E-001  6.376621154253936E-001  2.556696961374758E-001
  1.700000000000001E+001  1.778697315240813E-001  6.364391946491276E-001  4.380817309009451E-001  1.406903787796670E-001  6.395550958557639E-001  2.556695195120887E-001
  1.750000000000001E+001  1.778404563742034E-001  6.382597101927229E-001  4.380606080666334E-001  1.406903617836649E-001  6.413930132860821E-001  2.556693483878650E-001
  1.800000000000001E+001  1.778119217110456E-001  6.400239414946876E-001  4.380503337912334E-001  1.406903454595850E-001  6.431787845234185E-001  2.556691825476494E-001
  1.900000000000001E+001  1.777572228457134E-001  6.434082986293971E-001  4.380602005457783E-001  1.406903148328539E-001  6.466252672432879E-001  2.556688670451548E-001
  2.000000000000001E+001  1.777050840590244E-001  6.465965669761756E-001  4.381056738500276E-001  1.406902865460293E-001  6.498889284704455E-001  2.556685697869281E-001
  2.100000000000001E+001  1.776554413584162E-001  6.496068831189910E-001  4.381832504522899E-001  1.406902604746675E-001  6.529869965228753E-001  2.556682898659971E-001
  2.200000000000001E+001  1.776081658500153E-001  6.524550246393620E-001  4.382895815040574E-001  1.406902364774220E-001  6.559345739280746E-001  2.556680261749555E-001
  2.300000000000001E+001  1.775631234430334E-001  6.551548342069095E-001  4.384216690678253E-001  1.406902144217193E-001  6.587448062651021E-001  2.556677776660272E-001
  2.400000000000001E+001  1.775201862143514E-001  6.577185212107682E-001  4.385768559341724E-001  1.406901941864880E-001  6.614291966740637E-001  2.556675433822212E-001
  2.500000000000001E+001  1.774792341335425E-001  6.601569063925891E-001  4.387527864371585E-001  1.406901756613007E-001  6.639978759286461E-001  2.556673224519145E-001
  2.600000000000001E+001  1.774401549296692E-001  6.624796234076678E-001  4.389473679359547E-001  1.406901587451526E-001  6.664598186039065E-001  2.556671140791902E-001
  2.700000000000001E+001  1.774028436290027E-001  6.646952854944506E-001  4.391587371242958E-001  1.406901433453601E-001  6.688230165367066E-001  2.556669175349198E-001
  2.800000000000001E+001  1.773672020590873E-001  6.668116239351465E-001  4.393852311050512E-001  1.406901293766175E-001  6.710946196965872E-001  2.556667321491071E-001
  2.900000000000001E+001  1.773331383747095E-001  6.688356037419639E-001  4.396253625837399E-001  1.406901167601926E-001  6.732810518968754E-001  2.556665573043554E-001
  3.000000000000001E+001  1.773005666148127E-001  6.707735208977685E-001  4.398777985458555E-001  1.406901054232355E-001  6.753881067667017E-001  2.556663924302625E-001
  3.100000000000001E+001  1.772694062903387E-001  6.726310845758452E-001  4.401413418749827E-001  1.406900952981834E-001  6.774210280208453E-001  2.556662369985901E-001
  3.200000000000001E+001  1.772395820012895E-001  6.744134870516586E-001  4.404149154585631E-001  1.406900863222419E-001  6.793845770946976E-001  2.556660905190747E-001
  3.300000000000001E+001  1.772110230810918E-001  6.761254634659327E-001  4.406975484043991E-001  1.406900784369340E-001  6.812830905129726E-001  2.556659525357722E-001
  3.400000000000001E+001  1.771836632664325E-001  6.777713431681816E-001  4.409883640539216E-001  1.406900715877034E-001  6.831205288453096E-001  2.556658226238587E-001
  3.500000000000001E+001  1.771574403908555E-001  6.793550940342523E-001  4.412865695299064E-001  1.406900657235652E-001  6.849005187147386E-001  2.556657003868142E-001
  3.600000000000001E+001  1.771322961005235E-001  6.808803608882024E-001  4.415914465987677E-001  1.406900607967977E-001  6.866263890297030E-001  2.556655854539344E-001
  3.800000000000001E+001  1.770852300520884E-001  6.837766844623616E-001  4.422182127515208E-001  1.406900535860295E-001  6.899452269197348E-001  2.556653766130916E-001
  4.000000000000001E+001  1.770417292086198E-001  6.864748180182254E-001  4.428641368951761E-001  1.406900496043827E-001  6.930776682321641E-001  2.556651927939232E-001
