 time    0.0000000000000000     
           4   4  0.000000000000000E+000
           3   4  0.000000000000000E+000
           2   4  0.000000000000000E+000
           1   4  0.000000000000000E+000
 time    1.0000000000000001E-009
           4   4  1.360877179259606E-011
           3   4  2.211672093050700E-011
           2   4  4.440933100387716E-011
           1   4  1.468871151370526E-010
 time    2.0000000000000001E-009
           4   4  2.721754358519212E-011
           3   4  4.423344186101399E-011
           2   4  8.881866200775431E-011
           1   4  2.937742302741051E-010
 time    4.0000000000000002E-009
           4   4  5.443508717038425E-011
           3   4  8.846688372202799E-011
           2   4  1.776373240155086E-010
           1   4  5.875484605482103E-010
 time    6.0000000000000008E-009
           4   4  8.165263075557636E-011
           3   4  1.327003255830420E-010
           2   4  2.664559860232629E-010
           1   4  8.813226908223156E-010
 time    8.0000000000000005E-009
           4   4  1.088701743407685E-010
           3   4  1.769337674440560E-010
           2   4  3.552746480310173E-010
           1   4  1.175096921096421E-009
 time    1.0000000000000000E-008
           4   4  1.360877179259606E-010
           3   4  2.211672093050700E-010
           2   4  4.440933100387716E-010
           1   4  1.468871151370526E-009
 time    1.5000000000000002E-008
           4   4  2.041315768889409E-010
           3   4  3.317508139576050E-010
           2   4  6.661399650581573E-010
           1   4  2.203306727055788E-009
 time    2.0000000000000000E-008
           4   4  2.721754358519212E-010
           3   4  4.423344186101400E-010
           2   4  8.881866200775432E-010
           1   4  2.937742302741051E-009
 time    3.0000000000000004E-008
           4   4  4.082631537778817E-010
           3   4  6.635016279152099E-010
           2   4  1.332279930116314E-009
           1   4  4.406613454111577E-009
 time    4.0000000000000001E-008
           4   4  5.443508717038424E-010
           3   4  8.846688372202799E-010
           2   4  1.776373240155086E-009
           1   4  5.875484605482102E-009
 time    6.0000000000000008E-008
           4   4  8.165263075557635E-010
           3   4  1.327003255830420E-009
           2   4  2.664559860232629E-009
           1   4  8.813226908223153E-009
 time    8.0000000000000002E-008
           4   4  1.088701743407685E-009
           3   4  1.769337674440560E-009
           2   4  3.552746480310173E-009
           1   4  1.175096921096420E-008
 time    9.9999999999999995E-008
           4   4  1.360877179259606E-009
           3   4  2.211672093050700E-009
           2   4  4.440933100387714E-009
           1   4  1.468871151370526E-008
 time    1.4999999999999999E-007
           4   4  2.041315768889409E-009
           3   4  3.317508139576049E-009
           2   4  6.661399650581573E-009
           1   4  2.203306727055789E-008
 time    1.9999999999999999E-007
           4   4  2.721754358519211E-009
           3   4  4.423344186101399E-009
           2   4  8.881866200775429E-009
           1   4  2.937742302741051E-008
 time    2.9999999999999999E-007
           4   4  4.082631537778818E-009
           3   4  6.635016279152099E-009
           2   4  1.332279930116315E-008
           1   4  4.406613454111577E-008
 time    3.9999999999999998E-007
           4   4  5.443508717038423E-009
           3   4  8.846688372202799E-009
           2   4  1.776373240155086E-008
           1   4  5.875484605482102E-008
 time    5.9999999999999997E-007
           4   4  8.165263075557635E-009
           3   4  1.327003255830420E-008
           2   4  2.664559860232629E-008
           1   4  8.813226908223154E-008
 time    7.9999999999999996E-007
           4   4  1.088701743407685E-008
           3   4  1.769337674440560E-008
           2   4  3.552746480310172E-008
           1   4  1.175096921096420E-007
 time    9.9999999999999995E-007
           4   4  1.360877179259606E-008
           3   4  2.211672093050700E-008
           2   4  4.440933100387715E-008
           1   4  1.468871151370526E-007
 time    1.5000000000000000E-006
           4   4  2.041315768889409E-008
           3   4  3.317508139576049E-008
           2   4  6.661399650581573E-008
           1   4  2.203306727055789E-007
 time    1.9999999999999999E-006
           4   4  2.721754358519212E-008
           3   4  4.423344186101400E-008
           2   4  8.881866200775431E-008
           1   4  2.937742302741051E-007
 time    3.0000000000000001E-006
           4   4  4.082631537778818E-008
           3   4  6.635016279152099E-008
           2   4  1.332279930116315E-007
           1   4  4.406613454111577E-007
 time    3.9999999999999998E-006
           4   4  5.443508717038424E-008
           3   4  8.846688372202799E-008
           2   4  1.776373240155086E-007
           1   4  5.875484605482101E-007
 time    6.0000000000000002E-006
           4   4  8.165263075557636E-008
           3   4  1.327003255830420E-007
           2   4  2.664559860232629E-007
           1   4  8.813226908223154E-007
 time    7.9999999999999996E-006
           4   4  1.088701743407685E-007
           3   4  1.769337674440560E-007
           2   4  3.552746480310172E-007
           1   4  1.175096921096420E-006
 time    9.9999999999999991E-006
           4   4  1.360877179259606E-007
           3   4  2.211672093050700E-007
           2   4  4.440933100387715E-007
           1   4  1.468871151370526E-006
 time    1.4999999999999999E-005
           4   4  2.041315768889409E-007
           3   4  3.317508139576050E-007
           2   4  6.661399650581573E-007
           1   4  2.203306727055788E-006
 time    1.9999999999999998E-005
           4   4  2.721754358519212E-007
           3   4  4.423344186101399E-007
           2   4  8.881866200775430E-007
           1   4  2.937742302741051E-006
 time    2.9999999999999997E-005
           4   4  4.082631537778816E-007
           3   4  6.635016279152096E-007
           2   4  1.332279930116314E-006
           1   4  4.406613454111575E-006
 time    3.9999999999999996E-005
           4   4  5.443508717038422E-007
           3   4  8.846688372202798E-007
           2   4  1.776373240155086E-006
           1   4  5.875484605482101E-006
 time    5.9999999999999995E-005
           4   4  8.165263075557630E-007
           3   4  1.327003255830419E-006
           2   4  2.664559860232628E-006
           1   4  8.813226908223148E-006
 time    7.9999999999999993E-005
           4   4  1.088701743407684E-006
           3   4  1.769337674440558E-006
           2   4  3.552746480310170E-006
           1   4  1.175096921096419E-005
 time    9.9999999999999991E-005
           4   4  1.360877179259605E-006
           3   4  2.211672093050698E-006
           2   4  4.440933100387713E-006
           1   4  1.468871151370525E-005
 time    1.4999999999999999E-004
           4   4  2.041315768889407E-006
           3   4  3.317508139576047E-006
           2   4  6.661399650581567E-006
           1   4  2.203306727055787E-005
 time    1.9999999999999998E-004
           4   4  2.721754358519209E-006
           3   4  4.423344186101395E-006
           2   4  8.881866200775422E-006
           1   4  2.937742302741048E-005
 time    2.9999999999999997E-004
           4   4  4.082631537778813E-006
           3   4  6.635016279152092E-006
           2   4  1.332279930116313E-005
           1   4  4.406613454111572E-005
 time    3.9999999999999996E-004
           4   4  5.443508717038418E-006
           3   4  8.846688372202789E-006
           2   4  1.776373240155084E-005
           1   4  5.875484605482096E-005
 time    5.9999999999999995E-004
           4   4  8.165263075557626E-006
           3   4  1.327003255830418E-005
           2   4  2.664559860232626E-005
           1   4  8.813226908223143E-005
 time    7.9999999999999993E-004
           4   4  1.088701743407684E-005
           3   4  1.769337674440558E-005
           2   4  3.552746480310169E-005
           1   4  1.175096921096419E-004
 time    1.0000000000000000E-003
           4   4  1.360877179259604E-005
           3   4  2.211672093050697E-005
           2   4  4.440933100387709E-005
           1   4  1.468871151370524E-004
 time    1.5000000000000000E-003
           4   4  2.041315768889406E-005
           3   4  3.317508139576046E-005
           2   4  6.661399650581566E-005
           1   4  2.203306727055786E-004
 time    2.0000000000000000E-003
           4   4  2.721754358519209E-005
           3   4  4.423344186101395E-005
           2   4  8.881866200775419E-005
           1   4  2.937742302741048E-004
 time    3.0000000000000001E-003
           4   4  4.082631537778813E-005
           3   4  6.635016279152092E-005
           2   4  1.332279930116313E-004
           1   4  4.406613454111572E-004
 time    4.0000000000000001E-003
           4   4  5.443508717038417E-005
           3   4  8.846688372202789E-005
           2   4  1.776373240155084E-004
           1   4  5.875484605482095E-004
 time    6.0000000000000001E-003
           4   4  8.165263075557625E-005
           3   4  1.327003255830418E-004
           2   4  2.664559860232626E-004
           1   4  8.813226908223143E-004
 time    8.0000000000000002E-003
           4   4  1.088701743407683E-004
           3   4  1.769337674440558E-004
           2   4  3.552746480310167E-004
           1   4  1.175096921096419E-003
 time    1.0000000000000000E-002
           4   4  1.360877179259604E-004
           3   4  2.211672093050697E-004
           2   4  4.440933100387710E-004
           1   4  1.468871151370524E-003
 time    1.4999999999999999E-002
           4   4  2.041315768889406E-004
           3   4  3.317508139576045E-004
           2   4  6.661399650581565E-004
           1   4  2.203306727055785E-003
 time    2.0000000000000000E-002
           4   4  2.721754358519209E-004
           3   4  4.423344186101393E-004
           2   4  8.881866200775419E-004
           1   4  2.937742302741047E-003
 time    2.9999999999999999E-002
           4   4  4.082631537778813E-004
           3   4  6.635016279152090E-004
           2   4  1.332279930116313E-003
           1   4  4.406613454111571E-003
 time    4.0000000000000001E-002
           4   4  5.443508717038418E-004
           3   4  8.846688372202787E-004
           2   4  1.776373240155084E-003
           1   4  5.875484605482094E-003
 time    5.9999999999999998E-002
           4   4  8.165263075557626E-004
           3   4  1.327003255830418E-003
           2   4  2.664559860232626E-003
           1   4  8.813226908223141E-003
 time    8.0000000000000002E-002
           4   4  1.088701743407684E-003
           3   4  1.769337674440557E-003
           2   4  3.552746480310168E-003
           1   4  1.175096921096419E-002
 time   0.10000000000000001     
           4   4  1.360877179259604E-003
           3   4  2.211672093050697E-003
           2   4  4.440933100387711E-003
           1   4  1.468871151370524E-002
 time   0.15000000000000002     
           4   4  2.041315768889406E-003
           3   4  3.317508139576046E-003
           2   4  6.661399650581565E-003
           1   4  2.203306727055786E-002
 time   0.20000000000000001     
           4   4  2.721754358519209E-003
           3   4  4.423344186101394E-003
           2   4  8.881866200775421E-003
           1   4  2.937742302741047E-002
 time   0.30000000000000004     
           4   4  4.082631537778813E-003
           3   4  6.635016279152092E-003
           2   4  1.332279930116313E-002
           1   4  4.406613454111571E-002
 time   0.40000000000000002     
           4   4  5.443508717038417E-003
           3   4  8.846688372202788E-003
           2   4  1.776373240155084E-002
           1   4  5.875484605482095E-002
 time   0.60000000000000009     
           4   4  8.165263075557625E-003
           3   4  1.327003255830418E-002
           2   4  2.664559860232626E-002
           1   4  8.813226908223143E-002
 time   0.80000000000000004     
           4   4  1.088701743407683E-002
           3   4  1.769337674440558E-002
           2   4  3.552746480310168E-002
           1   4  1.175096921096419E-001
 time    1.0000000000000000     
           4   4  1.360877179259604E-002
           3   4  2.211672093050697E-002
           2   4  4.440933100387710E-002
           1   4  1.468871151370524E-001
 time    1.5000000000000000     
           4   4  2.041315768889406E-002
           3   4  3.317508139576045E-002
           2   4  6.661399650581565E-002
           1   4  2.203306727055785E-001
 time    2.0000000000000000     
           4   4  2.721754358519209E-002
           3   4  4.423344186101394E-002
           2   4  8.881866200775421E-002
           1   4  2.937742302741047E-001
 time    3.0000000000000000     
           4   4  4.082631537778812E-002
           3   4  6.635016279152091E-002
           2   4  1.332279930116313E-001
           1   4  4.406613454111571E-001
 time    4.0000000000000000     
           4   4  5.443508717038417E-002
           3   4  8.846688372202788E-002
           2   4  1.776373240155084E-001
           1   4  5.875484605482094E-001
 time    6.0000000000000000     
           4   4  8.165263075557624E-002
           3   4  1.327003255830418E-001
           2   4  2.664559860232625E-001
           1   4  8.813226908223142E-001
 time    8.0000000000000000     
           4   4  1.088701743407683E-001
           3   4  1.769337674440558E-001
           2   4  3.552746480310168E-001
           1   4  1.175096921096419E+000
