 time    0.0000000000000000     
          -5   1  0.000000000000000E+000
          -4   1  0.000000000000000E+000
          -3   1  0.000000000000000E+000
          -2   1  0.000000000000000E+000
          -1   1  0.000000000000000E+000
 time    1.0000000000000001E-009
          -5   1  7.495245675451422E-012
          -4   1  1.234152163917974E-011
          -3   1  2.354850724977943E-011
          -2   1  5.989903715712738E-011
          -1   1  3.166770483296745E-010
 time    2.0000000000000001E-009
          -5   1  1.499011735370935E-011
          -4   1  2.468254563902895E-011
          -3   1  4.709608330099759E-011
          -2   1  1.197940927373833E-010
          -1   1  6.333687126741711E-010
 time    4.0000000000000002E-009
          -5   1  2.997836487070977E-011
          -4   1  4.936260321325940E-011
          -3   1  9.418751089828366E-011
          -2   1  2.395682800956638E-010
          -1   1  1.266810498269211E-009
 time    6.0000000000000008E-009
          -5   1  4.496511669737541E-011
          -4   1  7.404067049382390E-011
          -3   1  1.412752142793944E-010
          -2   1  3.593265461562421E-010
          -1   1  1.900310733616221E-009
 time    8.0000000000000005E-009
          -5   1  5.995037298289518E-011
          -4   1  9.871674761253806E-011
          -3   1  1.883591937333128E-010
          -2   1  4.790688934233115E-010
          -1   1  2.533869411562850E-009
 time    1.0000000000000000E-008
          -5   1  7.493413387644315E-011
          -4   1  1.233908347012137E-010
          -3   1  2.354394495489964E-010
          -2   1  5.987953244006250E-010
          -1   1  3.167486524957795E-009
 time    1.5000000000000002E-008
          -5   1  1.123841922412863E-010
          -4   1  1.850636167948327E-010
          -3   1  3.531168208637085E-010
          -2   1  8.980119641387532E-010
          -1   1  4.751894418312595E-009
 time    2.0000000000000000E-008
          -5   1  1.498249090665711E-010
          -4   1  2.467239653196573E-010
          -3   1  4.707709284668836E-010
          -2   1  1.197129205258283E-009
          -1   1  6.336667309873274E-009
 time    3.0000000000000004E-008
          -5   1  2.246689951856824E-010
          -4   1  3.699949445593108E-010
          -3   1  7.059861249022771E-010
          -2   1  1.794966405415557E-009
          -1   1  9.507672193089356E-009
 time    4.0000000000000001E-008
          -5   1  2.994757523958182E-010
          -4   1  4.932162224668863E-010
          -3   1  9.411083386544434E-010
          -2   1  2.392406635676690E-009
          -1   1  1.268013528463028E-008
 time    6.0000000000000008E-008
          -5   1  4.489400998258919E-010
          -4   1  7.394601043786087E-010
          -3   1  1.410981123185618E-009
          -2   1  3.585701708027501E-009
          -1   1  1.903088716859713E-008
 time    8.0000000000000002E-008
          -5   1  5.982554290959094E-010
          -4   1  9.855054443764381E-010
          -3   1  1.880482553395708E-009
          -2   1  4.777413882125945E-009
          -1   1  2.538745764628946E-008
 time    9.9999999999999995E-008
          -5   1  7.474218887137870E-010
          -4   1  1.231352374104590E-009
          -3   1  2.349612917095969E-009
          -2   1  5.967545642061414E-009
          -1   1  3.174983961325346E-008
 time    1.4999999999999999E-007
          -5   1  1.119409918369663E-009
          -4   1  1.844731691192364E-009
          -3   1  3.520124150666334E-009
          -2   1  8.933036105630534E-009
          -1   1  4.769200578094887E-008
 time    1.9999999999999999E-007
          -5   1  1.490472136594603E-009
          -4   1  2.456875053788524E-009
          -3   1  4.688325183459085E-009
          -2   1  1.188872610254762E-008
          -1   1  6.367027296115625E-008
 time    2.9999999999999999E-007
          -5   1  2.228911712221656E-009
          -4   1  3.676234373148741E-009
          -3   1  7.015522115661715E-009
          -2   1  1.776120938871085E-008
          -1   1  9.577033629868374E-008
 time    3.9999999999999998E-007
          -5   1  2.963684712645831E-009
          -4   1  4.890682667431245E-009
          -3   1  9.333549414711266E-009
          -2   1  2.359509843804442E-008
          -1   1  1.280130596005170E-007
 time    5.9999999999999997E-007
          -5   1  4.418709315819715E-009
          -4   1  7.300065855591460E-009
          -3   1  1.393320712033147E-008
          -2   1  3.511087803565292E-008
          -1   1  1.930622954749124E-007
 time    7.9999999999999996E-007
          -5   1  5.859355935022725E-009
          -4   1  9.690065886246538E-009
          -3   1  1.849674704599518E-008
          -2   1  4.647699643794361E-008
          -1   1  2.586685659251915E-007
 time    9.9999999999999995E-007
          -5   1  7.285766591452267E-009
          -4   1  1.206081260569645E-008
          -3   1  2.302444594008798E-008
          -2   1  5.769575093430181E-008
          -1   1  3.248252132271549E-007
 time    1.5000000000000000E-006
          -5   1  1.076498376116902E-008
          -4   1  1.786935822469099E-008
          -3   1  3.412392029343645E-008
          -2   1  8.485601016452777E-008
          -1   1  4.935562757245201E-007
 time    1.9999999999999999E-006
          -5   1  1.415950398030693E-008
          -4   1  2.356157689409508E-008
          -3   1  4.500776695102578E-008
          -2   1  1.111626064566149E-007
          -1   1  6.655298323478942E-007
 time    3.0000000000000001E-006
          -5   1  2.062585504631234E-008
          -4   1  3.449635932646385E-008
          -3   1  6.594478189685307E-008
          -2   1  1.606038642224237E-007
          -1   1  1.021722589263101E-006
 time    3.9999999999999998E-006
          -5   1  2.678484920978413E-008
          -4   1  4.499682092800575E-008
          -3   1  8.608169158228705E-008
          -2   1  2.070966597000216E-007
          -1   1  1.389483946979053E-006
 time    6.0000000000000002E-006
          -5   1  3.798495426951529E-008
          -4   1  6.437771642217924E-008
          -3   1  1.233815838773068E-007
          -2   1  2.898159027684352E-007
          -1   1  2.166517671325632E-006
 time    7.9999999999999996E-006
          -5   1  4.816859586803052E-008
          -4   1  8.225019235791567E-008
          -3   1  1.579176333426346E-007
          -2   1  3.635759781996579E-007
          -1   1  2.980861545662937E-006
 time    9.9999999999999991E-006
          -5   1  5.742799625670054E-008
          -4   1  9.872011175623520E-008
          -3   1  1.898850038188550E-007
          -2   1  4.294975265420160E-007
          -1   1  3.828801688137231E-006
 time    1.4999999999999999E-005
          -5   1  7.595339892409221E-008
          -4   1  1.325641751268251E-007
          -3   1  2.563212494248198E-007
          -2   1  5.577832644023670E-007
          -1   1  6.114434814676062E-006
 time    1.9999999999999998E-005
          -5   1  9.077879743738606E-008
          -4   1  1.603083747943833E-007
          -3   1  3.114496745138247E-007
          -2   1  6.585232889105503E-007
          -1   1  8.531812721314641E-006
 time    2.9999999999999997E-005
          -5   1  1.105566330489716E-007
          -4   1  1.986098321666152E-007
          -3   1  3.892135705451193E-007
          -2   1  7.912980290174187E-007
          -1   1  1.371875291666544E-005
 time    3.9999999999999996E-005
          -5   1  1.237484340289218E-007
          -4   1  2.249126891802835E-007
          -3   1  4.437747781139281E-007
          -2   1  8.800857584412354E-007
          -1   1  1.914323373930648E-005
 time    4.9999999999999996E-005
          -5   1  1.325470176810882E-007
          -4   1  2.428990718824654E-007
          -3   1  4.818682547955507E-007
          -2   1  9.400841067137559E-007
          -1   1  2.472885654763430E-005
 time    5.9999999999999995E-005
          -5   1  1.384152147062863E-007
          -4   1  2.551547762382386E-007
          -3   1  5.083429505567389E-007
          -2   1  9.809127125166515E-007
          -1   1  3.042410331081516E-005
 time    7.9999999999999993E-005
          -5   1  1.442865940877242E-007
          -4   1  2.677401492609633E-007
          -3   1  5.362787378108887E-007
          -2   1  1.023351329323517E-006
          -1   1  4.204032190518470E-005
 time    9.9999999999999991E-005
          -5   1  1.472236046333876E-007
          -4   1  2.741694002767858E-007
          -3   1  5.508987865001646E-007
          -2   1  1.045458874065790E-006
          -1   1  5.377144113380839E-005
 time    1.1999999999999999E-004
          -5   1  1.486926800603223E-007
          -4   1  2.774404452323106E-007
          -3   1  5.584970255062841E-007
          -2   1  1.056965088257261E-006
          -1   1  6.555968530196113E-005
 time    1.3999999999999999E-004
          -5   1  1.494275289486955E-007
          -4   1  2.790991956202394E-007
          -3   1  5.624222919694550E-007
          -2   1  1.062937695307586E-006
          -1   1  7.737496927726658E-005
 time    1.5999999999999999E-004
          -5   1  1.497952159420760E-007
          -4   1  2.799381168431151E-007
          -3   1  5.644395723689427E-007
          -2   1  1.066026973211905E-006
          -1   1  8.920167246556820E-005
 time    1.7999999999999998E-004
          -5   1  1.499793564224330E-007
          -4   1  2.803615383568101E-007
          -3   1  5.654716154011901E-007
          -2   1  1.067618743389271E-006
          -1   1  1.010317156753210E-004
 time    1.9999999999999998E-004
          -5   1  1.500717847236151E-007
          -4   1  2.805749756867229E-007
          -3   1  5.659975409403778E-007
          -2   1  1.068435847373616E-006
          -1   1  1.128609388518590E-004
 time    2.5000000000000001E-004
          -5   1  1.501394867747369E-007
          -4   1  2.807297819601576E-007
          -3   1  5.663814513442753E-007
          -2   1  1.069039039156919E-006
          -1   1  1.424099889337595E-004
 time    3.0000000000000003E-004
          -5   1  1.501608671174113E-007
          -4   1  2.807760022751744E-007
          -3   1  5.664939593077941E-007
          -2   1  1.069219030140305E-006
          -1   1  1.719293836951951E-004
 time    4.0000000000000002E-004
          -5   1  1.501733827826398E-007
          -4   1  2.807968605900456E-007
          -3   1  5.665368972534729E-007
          -2   1  1.069294683914733E-006
          -1   1  2.308433343323587E-004
 time    5.0000000000000001E-004
          -5   1  1.501812315066529E-007
          -4   1  2.808065152953047E-007
          -3   1  5.665506263400582E-007
          -2   1  1.069327819117594E-006
          -1   1  2.896319468389022E-004
 time    6.0000000000000006E-004
          -5   1  1.501884420901772E-007
          -4   1  2.808146653368003E-007
          -3   1  5.665602760221701E-007
          -2   1  1.069358575774485E-006
          -1   1  3.482960811051710E-004
 time    8.0000000000000004E-004
          -5   1  1.502026913979360E-007
          -4   1  2.808308150236043E-007
          -3   1  5.665792604049679E-007
          -2   1  1.069432499592994E-006
          -1   1  4.651347907735509E-004
 time    1.0000000000000000E-003
          -5   1  1.502169544320852E-007
          -4   1  2.808471317818609E-007
          -3   1  5.665987377596405E-007
          -2   1  1.069523837922183E-006
          -1   1  5.814913589160872E-004
 time    1.5000000000000000E-003
          -5   1  1.502526416427377E-007
          -4   1  2.808880997251147E-007
          -3   1  5.666480531909243E-007
          -2   1  1.069823325317713E-006
          -1   1  8.694617025438778E-004
 time    2.0000000000000000E-003
          -5   1  1.502882732922802E-007
          -4   1  2.809290216852979E-007
          -3   1  5.666973169255917E-007
          -2   1  1.070220517027902E-006
          -1   1  1.154608544994210E-003
 time    3.0000000000000001E-003
          -5   1  1.503598883438310E-007
          -4   1  2.810109746774608E-007
          -3   1  5.667955124729595E-007
          -2   1  1.071292837956371E-006
          -1   1  1.714209391328709E-003
 time    4.0000000000000001E-003
          -5   1  1.504311569431507E-007
          -4   1  2.810922738674890E-007
          -3   1  5.668924436001077E-007
          -2   1  1.072719667598772E-006
          -1   1  2.263755308642739E-003
 time    6.0000000000000001E-003
          -5   1  1.505744521958092E-007
          -4   1  2.812545116235282E-007
          -3   1  5.670843663953103E-007
          -2   1  1.076536560284631E-006
          -1   1  3.326275624984949E-003
 time    8.0000000000000002E-003
          -5   1  1.507156301097487E-007
          -4   1  2.814133592405416E-007
          -3   1  5.672710765535220E-007
          -2   1  1.081558679972602E-006
