 time    0.0000000000000000     
           1   4  0.000000000000000E+000
           2   4  0.000000000000000E+000
           3   4  0.000000000000000E+000
           4   4  0.000000000000000E+000
 time    1.0000000000000001E-009
           1   4  1.468476112951761E-010
           2   4  4.440334608804513E-011
           3   4  2.211473204274859E-011
           4   4  1.360785345449637E-011
 time    2.0000000000000001E-009
           1   4  2.936558252385295E-010
           2   4  8.880071534703992E-011
           3   4  4.422747699082965E-011
           4   4  2.721478919212659E-011
 time    4.0000000000000002E-009
           1   4  5.871155095066144E-010
           2   4  1.775716110083595E-010
           3   4  8.844503281840445E-011
           4   4  5.442499476073543E-011
 time    6.0000000000000008E-009
           1   4  8.804192898431021E-010
           2   4  2.663187280398726E-010
           3   4  1.326546688528956E-010
           4   4  8.163153937454948E-011
 time    8.0000000000000005E-009
           1   4  1.173567999889161E-009
           2   4  3.550421304360116E-010
           3   4  1.768563993353574E-010
           4   4  1.088344279764424E-010
 time    1.0000000000000000E-008
           1   4  1.466562467282334E-009
           2   4  4.437418819597950E-010
           3   4  2.210502384724634E-010
           4   4  1.360336655003315E-010
 time    1.5000000000000002E-008
           1   4  2.198097320929355E-009
           2   4  6.653444301642882E-010
           3   4  3.314857360542719E-010
           4   4  2.040090168172160E-010
 time    2.0000000000000000E-008
           1   4  2.928693335361181E-009
           2   4  8.868011262240555E-010
           3   4  4.418723526902973E-010
           4   4  2.719617020382102E-010
 time    3.0000000000000004E-008
           1   4  4.386226329720114E-009
           2   4  1.329138798542925E-009
           3   4  6.624517958629709E-010
           4   4  4.077770138113120E-010
 time    4.0000000000000001E-008
           1   4  5.840193251264740E-009
           2   4  1.770908302319848E-009
           3   4  8.828391617246833E-010
           4   4  5.435028671309203E-010
 time    6.0000000000000008E-008
           1   4  8.734556546803477E-009
           2   4  2.652232951687996E-009
           3   4  1.322858967154814E-009
           4   4  8.146014573531028E-010
 time    8.0000000000000002E-008
           1   4  1.161599649160582E-008
           2   4  3.531399501729141E-009
           3   4  1.762136908047056E-009
           4   4  1.085351562790992E-009
 time    9.9999999999999995E-008
           1   4  1.448511705103816E-008
           2   4  4.408462264284473E-009
           3   4  2.200685741638108E-009
           4   4  1.355757733660672E-009
 time    1.4999999999999999E-007
           1   4  2.158893589849860E-008
           2   4  6.588749105322897E-009
           3   4  3.292688922937539E-009
           4   4  2.029691590932049E-009
 time    1.9999999999999999E-007
           1   4  2.863058644513947E-008
           2   4  8.757380582586100E-009
           3   4  4.380500595410672E-009
           4   4  2.701608970172051E-009
 time    2.9999999999999999E-007
           1   4  4.250574400204844E-008
           2   4  1.305287698006531E-008
