! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.869500044430990E-001  4.218605308127349E-001  4.563235849520978E-001  2.556632623089873E-001
  2.000000000000001E-001  5.471185651984223E-001  4.181560607811580E-001  4.539373759042884E-001  2.556660848565489E-001
  3.000000000000001E-001  5.877146965480062E-001  4.164460846557311E-001  4.548186682444728E-001  2.556714764032024E-001
  4.000000000000002E-001  6.185350427902570E-001  4.157099163356947E-001  4.571097082180323E-001  2.556773360508533E-001
  5.000000000000002E-001  6.426810313581471E-001  4.155046245618422E-001  4.601250739795430E-001  2.556832562308418E-001
  6.000000000000003E-001  6.622775830556559E-001  4.156276311435069E-001  4.637052639643029E-001  2.556890962643671E-001
  7.000000000000004E-001  6.789017193978122E-001  4.159789648418987E-001  4.679664518029647E-001  2.556947496451190E-001
  8.000000000000005E-001  6.929239712699090E-001  4.164781491363213E-001  4.726863216493622E-001  2.557002190947320E-001
  9.000000000000006E-001  7.049444135334149E-001  4.170873315706068E-001  4.779129915045637E-001  2.557054797109417E-001
  1.000000000000001E+000  7.153750709231746E-001  4.177790664740391E-001  4.836825314217584E-001  2.557105122085575E-001
  1.100000000000001E+000  7.245117581860320E-001  4.185332671754725E-001  4.900245997623859E-001  2.557153010016220E-001
  1.200000000000001E+000  7.325744634467258E-001  4.193340166710460E-001  4.969628448993073E-001  2.557198328665004E-001
  1.300000000000001E+000  7.397315602659714E-001  4.201678306886535E-001  5.045137088749660E-001  2.557240962868473E-001
  1.400000000000001E+000  7.461150761196721E-001  4.210227077418181E-001  5.126849431585324E-001  2.557280811240713E-001
  1.500000000000001E+000  7.518071660865752E-001  4.218857173902925E-001  5.211758788985578E-001  2.557318272961952E-001
  1.600000000000001E+000  7.569319303682668E-001  4.227510254365207E-001  5.303325558807928E-001  2.557352751698614E-001
  1.700000000000001E+000  7.615551396361869E-001  4.236090595783646E-001  5.401014557527503E-001  2.557384208030577E-001
  1.800000000000001E+000  7.657341482458678E-001  4.244514537244019E-001  5.504439288780779E-001  2.557412584540612E-001
  1.900000000000001E+000  7.695180133675834E-001  4.252710267327570E-001  5.613143470320184E-001  2.557437835234171E-001
  2.000000000000001E+000  7.729491332802363E-001  4.260622549082290E-001  5.726602766337069E-001  2.557459926876203E-001
  2.100000000000001E+000  7.760644961635063E-001  4.268217742065930E-001  5.844233430729004E-001  2.557478840698413E-001
  2.200000000000002E+000  7.788966469873053E-001  4.275488033099694E-001  5.965405170757765E-001  2.557494574297164E-001
  2.300000000000002E+000  7.814744439786087E-001  4.282453458512538E-001  6.089456029223289E-001  2.557507143519906E-001
  2.400000000000002E+000  7.838236522185372E-001  4.289160523581668E-001  6.215707598024306E-001  2.557516584130481E-001
  2.500000000000002E+000  7.859674073586401E-001  4.295677068334274E-001  6.343479390433672E-001  2.557522953066200E-001
  2.600000000000002E+000  7.879265748982778E-001  4.302084177304701E-001  6.472101709175765E-001  2.557526329144643E-001
  2.700000000000002E+000  7.897200272059851E-001  4.308466836784348E-001  6.600926803679020E-001  2.557526813134372E-001
  2.800000000000002E+000  7.913648587138750E-001  4.314905284377440E-001  6.729338433673779E-001  2.557524527160888E-001
  2.900000000000002E+000  7.928765574769046E-001  4.321468537607722E-001  6.856760078763042E-001  2.557519613469453E-001
  3.000000000000002E+000  7.942691478948393E-001  4.328210748975412E-001  6.982661940426149E-001  2.557512232604998E-001
  3.100000000000002E+000  7.955553152814500E-001  4.335170228476595E-001  7.106566638912756E-001  2.557502561095941E-001
  3.200000000000002E+000  7.967465190055094E-001  4.342370469724294E-001  7.228053244046471E-001  2.557490788745657E-001
  3.300000000000002E+000  7.978530978043981E-001  4.349822361635878E-001  7.346759146702958E-001  2.557477115645610E-001
  3.400000000000002E+000  7.988828616575583E-001  4.357531419163702E-001  7.463217997350824E-001  2.557461520263363E-001
  3.500000000000002E+000  7.998459840946854E-001  4.365489326862134E-001  7.576157720698875E-001  2.557444487770435E-001
  3.600000000000001E+000  8.007500425137482E-001  4.373682998431512E-001  7.685405540633419E-001  2.557426228329284E-001
  3.700000000000001E+000  8.016018347797789E-001  4.382096660270477E-001  7.790824958041409E-001  2.557406948989416E-001
