! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.182104836972870E-006  6.796779320944382E-004  5.818054356109439E-006  3.339175847812861E-002  3.755051519762194E-004  1.879243715229348E-011
  2.000000000000000E-001  2.987859533307784E-006  1.337925333418380E-003  3.796636555386006E-006  5.341942086254382E-002  6.972046905959145E-004  3.061340113846895E-011
  3.000000000000000E-001  2.415826902283786E-006  1.971453454186180E-003  2.939237023689861E-006  6.908490281417506E-002  9.946064424981109E-004  4.003065689681887E-011
  4.000000000000001E-001  2.072031553309459E-006  2.579114503685117E-003  2.451785306678751E-006  8.224789349857320E-002  1.277773349972839E-003  4.800407018381924E-011
  5.000000000000001E-001  1.844845904050941E-006  3.155863774322618E-003  2.138711136979437E-006  9.338003305737805E-002  1.550108250111229E-003  5.475977980730852E-011
  6.000000000000002E-001  1.681830040328300E-006  3.705253444540802E-003  1.917692549459818E-006  1.031176797378500E-001  1.815766335710863E-003  6.066647339865309E-011
  7.000000000000003E-001  1.559860237114312E-006  4.227255027016797E-003  1.753622028587726E-006  1.116598862923002E-001  2.076312070181150E-003  6.583701499061697E-011
  8.000000000000004E-001  1.465796185433153E-006  4.722308657070019E-003  1.627330359201138E-006  1.191507911732941E-001  2.332805586877643E-003  7.035808968385825E-011
  9.000000000000005E-001  1.391567078150316E-006  5.191260544394193E-003  1.527416181948923E-006  1.257041639436815E-001  2.585970974316839E-003  7.430123579306448E-011
  1.000000000000000E+000  1.331918475334187E-006  5.635292408319220E-003  1.446643613104458E-006  1.314158403608941E-001  2.836301360675714E-003  7.772833543244668E-011
  1.100000000000001E+000  1.283272112666369E-006  6.055843185713142E-003  1.380183993240145E-006  1.363702097331646E-001  3.084128211140829E-003  8.069446492825222E-011
  1.200000000000001E+000  1.243102901770593E-006  6.454527996537326E-003  1.324683904193916E-006  1.406436130061548E-001  3.329668829289838E-003  8.324941338848058E-011
  1.300000000000001E+000  1.209576970455613E-006  6.833060727533272E-003  1.277737965398054E-006  1.443060961440719E-001  3.573059824642197E-003  8.543851247033390E-011
  1.400000000000001E+000  1.181330506519685E-006  7.193185676744889E-003  1.237574405086880E-006  1.474222926401402E-001  3.814381152295902E-003  8.730311144888240E-011
  1.500000000000001E+000  1.157328873501015E-006  7.536621637187316E-003  1.202859081496373E-006  1.500518628207834E-001  4.053673608100944E-003  8.888087667371707E-011
  1.600000000000001E+000  1.136773696717422E-006  7.865019577252394E-003  1.172568679648023E-006  1.522497272779392E-001  4.290951662674848E-003  9.020601170664667E-011
  1.700000000000001E+000  1.119039792574474E-006  8.179933308581713E-003  1.145905990116007E-006  1.540662230541135E-001  4.526212907101935E-003  9.130944832515897E-011
