! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  6.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  8.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.200000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.400000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.600000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.800000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.500000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  3.500000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  4.500000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  5.500000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  6.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  7.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  8.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.100000000000000E+001 -1.482196937523740E-322  0.000000000000000E+000
  1.200000000000000E+001 -3.063207004215729E-322  0.000000000000000E+000
  1.400000000000000E+001 -1.206006855365701E-307  0.000000000000000E+000
