! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  3.144708783493686E-006  1.083262675129589E+000
  1.999999999999999E-001  1.120693727584056E-005  1.091803222887780E+000
  2.999999999999999E-001  2.281822997376131E-005  1.097725101331440E+000
  3.999999999999999E-001  3.752465789535372E-005  1.102832035845469E+000
  4.999999999999999E-001  5.426105506947976E-005  1.106824462162803E+000
  6.000000000000000E-001  7.253523068809969E-005  1.110110724750364E+000
  7.000000000000000E-001  9.227307583160616E-005  1.113144342191779E+000
  7.999999999999999E-001  1.128541312213890E-004  1.115724067125493E+000
  8.999999999999999E-001  1.340584893983213E-004  1.117967005392384E+000
  9.999999999999999E-001  1.557203730075746E-004  1.119949933648544E+000
  1.100000000000000E+000  1.777172711583034E-004  1.121726535976723E+000
  1.200000000000000E+000  1.999611320491711E-004  1.123336150085084E+000
  1.300000000000000E+000  2.223911216904741E-004  1.124808628025580E+000
  1.400000000000000E+000  2.449676511682552E-004  1.126167233221553E+000
  1.600000000000000E+000  2.907634097970533E-004  1.128758482099282E+000
  1.800000000000000E+000  3.371206631810474E-004  1.131045977076599E+000
  2.000000000000000E+000  3.840570640314294E-004  1.133112677818059E+000
  2.200000000000000E+000  4.316394572560924E-004  1.135013998360615E+000
  2.400000000000000E+000  4.799534063665403E-004  1.136787728293316E+000
  2.600000000000001E+000  5.290854142299277E-004  1.138459894208850E+000
  2.800000000000001E+000  5.791133339497791E-004  1.140048513526181E+000
  3.000000000000001E+000  6.301019229178529E-004  1.141566122811391E+000
  3.200000000000001E+000  6.821015346907307E-004  1.143021521275702E+000
  3.400000000000001E+000  7.351486441914164E-004  1.144420978527822E+000
  3.600000000000001E+000  7.892673582253162E-004  1.145769066011949E+000
  3.800000000000002E+000  8.444713609714000E-004  1.147069223407673E+000
  4.000000000000002E+000  9.007659435933918E-004  1.148324140482420E+000
