! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  3.658351150608273E-006  6.777047296082004E-004  3.143413174631917E-006  3.610274158960206E-002  4.032114666761855E-004  2.020113314147361E-011
  1.999999999999999E-001  2.631564605530777E-006  1.330096234049695E-003  2.369045860239006E-006  5.833463403651047E-002  7.565186571851560E-004  3.324191340080249E-011
  2.999999999999999E-001  2.144284874802435E-006  1.953305554845560E-003  1.966989496213700E-006  7.568771667068989E-002  1.084852207602650E-003  4.361682278028642E-011
  3.999999999999999E-001  1.858179143682555E-006  2.540639935837417E-003  1.717293141375804E-006  8.972825084397706E-002  1.396089235789964E-003  5.207226952796699E-011
  4.999999999999999E-001  1.666314730796531E-006  3.095685490276010E-003  1.543384893898624E-006  1.017050222400263E-001  1.697584282650204E-003  5.929642752720482E-011
  6.000000000000000E-001  1.529313487192635E-006  3.618157994995135E-003  1.415381253006001E-006  1.120132817246612E-001  1.992093119599212E-003  6.550400430150517E-011
  7.000000000000001E-001  1.427269000625940E-006  4.108493469399360E-003  1.317516016101462E-006  1.209153666263214E-001  2.281407567338123E-003  7.084716426169342E-011
  8.000000000000002E-001  1.348919102430266E-006  4.567728855401246E-003  1.240578978827735E-006  1.286028533242877E-001  2.566714123900971E-003  7.544315822190707E-011
  9.000000000000002E-001  1.287364668777782E-006  4.997385683341469E-003  1.178780573431182E-006  1.352264870901046E-001  2.848802447795046E-003  7.938758883035653E-011
  1.000000000000000E+000  1.238123148024050E-006  5.399347150198412E-003  1.128276014129853E-006  1.409115693075768E-001  3.128194952863651E-003  8.276136071537754E-011
  1.100000000000000E+000  1.199138884087392E-006  5.770347197262902E-003  1.087265459939046E-006  1.455996840868193E-001  3.404670403958923E-003  8.553622878963137E-011
  1.200000000000000E+000  1.166909324158574E-006  6.119187844399098E-003  1.052662269149624E-006  1.495967296016300E-001  3.679007297318763E-003  8.790038301375574E-011
  1.300000000000000E+000  1.139997153674032E-006  6.447993710500980E-003  1.023155647192664E-006  1.529799829824659E-001  3.951300859197775E-003  8.990239470671323E-011
