! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  0.000000000000000E+000  0.000000000000000E+000
  1.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  2.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  3.999999999999999E-001 -9.553287215652047E-262  1.001155133631531E+000
  4.999999999999999E-001  1.147814573738724E-249  1.001079799972294E+000
  6.000000000000000E-001  2.400606657488587E-236  1.001146243988117E+000
  7.000000000000001E-001  2.414848827755941E-225  1.001176545104733E+000
  8.000000000000002E-001  1.727991639953421E-216  1.001202248052445E+000
  9.000000000000002E-001  3.711665943766291E-209  1.001224051980608E+000
  1.000000000000000E+000  6.141599468800552E-203  1.001242618216693E+000
  1.100000000000000E+000  9.629184864957344E-152  1.001584679096307E+000
  1.200000000000000E+000  9.168376456793229E-148  1.001609413432180E+000
  1.300000000000000E+000  2.174445798566804E-144  1.001630643316348E+000
  1.400000000000001E+000  2.413423481892609E-141  1.001651509770100E+000
  1.500000000000001E+000  1.610410635517071E-138  1.001673166557185E+000
  1.600000000000001E+000  6.342663430629637E-136  1.001693170223459E+000
  1.700000000000001E+000  1.462861377871448E-133  1.001710514846062E+000
  1.800000000000001E+000  2.080262291405623E-131  1.001725533498087E+000
  1.900000000000001E+000  1.950642672275375E-129  1.001738733020450E+000
  2.000000000000001E+000  1.282768490643088E-127  1.001750517756022E+000
  2.100000000000001E+000  6.229290330419706E-126  1.001761185747990E+000
  2.200000000000001E+000  2.330049929646354E-124  1.001770957603983E+000
  2.300000000000001E+000  6.948238968728533E-123  1.001779999668226E+000
  2.400000000000001E+000  1.699176385920127E-121  1.001788439771682E+000
  2.500000000000001E+000  3.488345618537224E-120  1.001796377831733E+000
  2.600000000000001E+000  6.130745290994238E-119  1.001803893121835E+000
  2.700000000000002E+000  9.377458460530689E-118  1.001811049370614E+000
  2.800000000000002E+000  1.265988072568228E-116  1.001817898413248E+000
  2.900000000000002E+000  1.526758360197110E-115  1.001824482854437E+000
  3.000000000000002E+000  1.661942146834153E-114  1.001830838042298E+000
  3.100000000000002E+000  1.647717533354723E-113  1.001836993552987E+000
  3.200000000000002E+000  1.499658709905154E-112  1.001842974322279E+000
  3.400000000000002E+000  3.297858935287946E-093  1.002413775968463E+000
  3.600000000000002E+000  2.124588574269029E-091  1.002424144640612E+000
  3.800000000000002E+000  6.822827545878759E-090  1.002434269944818E+000
  4.000000000000003E+000  1.461623043085670E-088  1.002444202158321E+000
  4.200000000000003E+000  2.356374215289640E-087  1.002453979774257E+000
  4.400000000000003E+000  3.055809031735158E-086  1.002463632566915E+000
  4.600000000000003E+000  3.325751754558580E-085  1.002473183770020E+000
  4.800000000000003E+000  3.128069747177296E-084  1.002482651657105E+000
  5.000000000000004E+000  2.597858823302789E-083  1.002492050707128E+000
  5.200000000000004E+000  1.936512609957401E-082  1.002501392475351E+000
  5.400000000000004E+000  1.312448943028743E-081  1.002510686250491E+000
  5.600000000000004E+000  8.171548925613047E-081  1.002519939554451E+000
  5.800000000000004E+000  4.713931649597832E-080  1.002529158524596E+000
  6.000000000000004E+000  2.537490071263673E-079  1.002538348207642E+000
  6.200000000000005E+000  1.282265265181487E-078  1.002547512786484E+000
  6.400000000000005E+000  6.114184157202222E-078  1.002556655755941E+000
  6.600000000000005E+000  2.763243078763076E-077  1.002565780059425E+000
  6.800000000000005E+000  1.188246422838367E-076  1.002574888195596E+000
  7.000000000000005E+000  4.878483876015409E-076  1.002583982301943E+000
  7.500000000000005E+000  2.012089121174187E-064  1.003568966983254E+000
  8.000000000000005E+000  6.469368465428097E-063  1.003594469480573E+000
  8.500000000000005E+000  1.067801615224528E-061  1.003619661540900E+000
  9.000000000000005E+000  1.205532728289899E-060  1.003644580604707E+000
  9.500000000000005E+000  1.046592064814675E-059  1.003669256198076E+000
  1.000000000000001E+001  7.447638199504755E-059  1.003693712362626E+000
  1.050000000000001E+001  4.522181782316098E-058  1.003717969146173E+000
  1.100000000000001E+001  2.408420076022738E-057  1.003742043562366E+000
  1.150000000000001E+001  1.147819304834131E-056  1.003765950240403E+000
  1.200000000000001E+001  4.970196409587381E-056  1.003789701886130E+000
  1.250000000000001E+001  1.978806988380038E-055  1.003813309622833E+000
  1.300000000000001E+001  7.313357914202101E-055  1.003836783251584E+000
  1.350000000000001E+001  2.528822853362289E-054  1.003860131455361E+000
  1.400000000000001E+001  8.234664434861816E-054  1.003883361962423E+000
  1.450000000000001E+001  2.539205496761283E-053  1.003906481679178E+000
  1.500000000000001E+001  7.449477485688790E-053  1.003929496799687E+000
  1.550000000000001E+001  2.087866316371992E-052  1.003952412896882E+000
  1.600000000000001E+001  5.610147510500094E-052  1.003975234999225E+000
  1.650000000000001E+001  1.449769628039529E-051  1.003997967655675E+000
