 time    0.0000000000000000     
          -5   1  0.000000000000000E+000
          -4   1  0.000000000000000E+000
          -3   1  0.000000000000000E+000
          -2   1  0.000000000000000E+000
          -1   1  0.000000000000000E+000
 time    1.0000000000000001E-009
          -5   1  7.495619691294937E-012
          -4   1  1.234201929498521E-011
          -3   1  2.354943848446661E-011
          -2   1  5.990301904716807E-011
          -1   1  3.166624314202896E-010
 time    2.0000000000000001E-009
          -5   1  1.499123938258987E-011
          -4   1  2.468403858997042E-011
          -3   1  4.709887696893321E-011
          -2   1  1.198060380943361E-010
          -1   1  6.333248628405791E-010
 time    4.0000000000000002E-009
          -5   1  2.998247876517975E-011
          -4   1  4.936807717994085E-011
          -3   1  9.419775393786642E-011
          -2   1  2.396120761886723E-010
          -1   1  1.266649725681158E-009
 time    6.0000000000000008E-009
          -5   1  4.497371814776962E-011
          -4   1  7.405211576991127E-011
          -3   1  1.412966309067996E-010
          -2   1  3.594181142830085E-010
          -1   1  1.899974588521738E-009
 time    8.0000000000000005E-009
          -5   1  5.996495753035949E-011
          -4   1  9.873615435988169E-011
          -3   1  1.883955078757328E-010
          -2   1  4.792241523773446E-010
          -1   1  2.533299451362317E-009
 time    1.0000000000000000E-008
          -5   1  7.495619691294937E-011
          -4   1  1.234201929498521E-010
          -3   1  2.354943848446660E-010
          -2   1  5.990301904716807E-010
          -1   1  3.166624314202896E-009
 time    1.5000000000000002E-008
          -5   1  1.124342953694241E-010
          -4   1  1.851302894247782E-010
          -3   1  3.532415772669991E-010
          -2   1  8.985452857075210E-010
          -1   1  4.749936471304344E-009
 time    2.0000000000000000E-008
          -5   1  1.499123938258987E-010
          -4   1  2.468403858997042E-010
          -3   1  4.709887696893320E-010
          -2   1  1.198060380943361E-009
          -1   1  6.333248628405789E-009
 time    3.0000000000000004E-008
          -5   1  2.248685907388481E-010
          -4   1  3.702605788495563E-010
          -3   1  7.064831545339981E-010
          -2   1  1.797090571415042E-009
          -1   1  9.499872942608687E-009
 time    4.0000000000000001E-008
          -5   1  2.998247876517975E-010
          -4   1  4.936807717994085E-010
          -3   1  9.419775393786640E-010
          -2   1  2.396120761886723E-009
          -1   1  1.266649725681158E-008
 time    6.0000000000000008E-008
          -5   1  4.497371814776962E-010
          -4   1  7.405211576991127E-010
          -3   1  1.412966309067996E-009
          -2   1  3.594181142830084E-009
          -1   1  1.899974588521737E-008
 time    8.0000000000000002E-008
          -5   1  5.996495753035950E-010
          -4   1  9.873615435988170E-010
          -3   1  1.883955078757328E-009
          -2   1  4.792241523773445E-009
          -1   1  2.533299451362316E-008
 time    9.9999999999999995E-008
          -5   1  7.495619691294937E-010
          -4   1  1.234201929498521E-009
          -3   1  2.354943848446660E-009
          -2   1  5.990301904716807E-009
          -1   1  3.166624314202895E-008
 time    1.4999999999999999E-007
          -5   1  1.124342953694241E-009
          -4   1  1.851302894247781E-009
          -3   1  3.532415772669990E-009
          -2   1  8.985452857075210E-009
          -1   1  4.749936471304344E-008
 time    1.9999999999999999E-007
          -5   1  1.499123938258987E-009
          -4   1  2.468403858997042E-009
          -3   1  4.709887696893321E-009
          -2   1  1.198060380943361E-008
          -1   1  6.333248628405790E-008
 time    2.9999999999999999E-007
          -5   1  2.248685907388481E-009
          -4   1  3.702605788495563E-009
          -3   1  7.064831545339980E-009
          -2   1  1.797090571415042E-008
          -1   1  9.499872942608687E-008
 time    3.9999999999999998E-007
          -5   1  2.998247876517975E-009
          -4   1  4.936807717994084E-009
          -3   1  9.419775393786642E-009
          -2   1  2.396120761886722E-008
          -1   1  1.266649725681158E-007
 time    5.9999999999999997E-007
          -5   1  4.497371814776962E-009
          -4   1  7.405211576991125E-009
          -3   1  1.412966309067996E-008
          -2   1  3.594181142830084E-008
          -1   1  1.899974588521737E-007
 time    7.9999999999999996E-007
          -5   1  5.996495753035949E-009
          -4   1  9.873615435988168E-009
          -3   1  1.883955078757328E-008
          -2   1  4.792241523773445E-008
          -1   1  2.533299451362316E-007
 time    9.9999999999999995E-007
          -5   1  7.495619691294936E-009
          -4   1  1.234201929498521E-008
          -3   1  2.354943848446660E-008
          -2   1  5.990301904716808E-008
          -1   1  3.166624314202895E-007
 time    1.5000000000000000E-006
          -5   1  1.124342953694241E-008
          -4   1  1.851302894247781E-008
          -3   1  3.532415772669990E-008
          -2   1  8.985452857075211E-008
          -1   1  4.749936471304343E-007
 time    1.9999999999999999E-006
          -5   1  1.499123938258987E-008
          -4   1  2.468403858997042E-008
          -3   1  4.709887696893321E-008
          -2   1  1.198060380943362E-007
          -1   1  6.333248628405790E-007
 time    3.0000000000000001E-006
          -5   1  2.248685907388481E-008
          -4   1  3.702605788495563E-008
          -3   1  7.064831545339980E-008
          -2   1  1.797090571415042E-007
          -1   1  9.499872942608685E-007
 time    3.9999999999999998E-006
          -5   1  2.998247876517974E-008
          -4   1  4.936807717994084E-008
          -3   1  9.419775393786642E-008
          -2   1  2.396120761886723E-007
          -1   1  1.266649725681158E-006
 time    6.0000000000000002E-006
          -5   1  4.497371814776962E-008
          -4   1  7.405211576991126E-008
          -3   1  1.412966309067996E-007
          -2   1  3.594181142830084E-007
          -1   1  1.899974588521737E-006
 time    7.9999999999999996E-006
          -5   1  5.996495753035949E-008
          -4   1  9.873615435988168E-008
          -3   1  1.883955078757328E-007
          -2   1  4.792241523773447E-007
          -1   1  2.533299451362316E-006
 time    9.9999999999999991E-006
          -5   1  7.495619691294936E-008
          -4   1  1.234201929498521E-007
          -3   1  2.354943848446660E-007
          -2   1  5.990301904716807E-007
          -1   1  3.166624314202895E-006
 time    1.4999999999999999E-005
          -5   1  1.124342953694240E-007
          -4   1  1.851302894247782E-007
          -3   1  3.532415772669990E-007
          -2   1  8.985452857075209E-007
          -1   1  4.749936471304342E-006
 time    1.9999999999999998E-005
          -5   1  1.499123938258987E-007
          -4   1  2.468403858997042E-007
          -3   1  4.709887696893320E-007
          -2   1  1.198060380943361E-006
          -1   1  6.333248628405790E-006
 time    2.9999999999999997E-005
          -5   1  2.248685907388480E-007
          -4   1  3.702605788495562E-007
          -3   1  7.064831545339976E-007
          -2   1  1.797090571415042E-006
          -1   1  9.499872942608681E-006
 time    3.9999999999999996E-005
          -5   1  2.998247876517974E-007
          -4   1  4.936807717994084E-007
          -3   1  9.419775393786637E-007
          -2   1  2.396120761886722E-006
          -1   1  1.266649725681158E-005
 time    5.9999999999999995E-005
          -5   1  4.497371814776960E-007
          -4   1  7.405211576991123E-007
          -3   1  1.412966309067995E-006
          -2   1  3.594181142830082E-006
          -1   1  1.899974588521736E-005
 time    7.9999999999999993E-005
          -5   1  5.996495753035944E-007
          -4   1  9.873615435988161E-007
          -3   1  1.883955078757327E-006
          -2   1  4.792241523773441E-006
          -1   1  2.533299451362314E-005
 time    9.9999999999999991E-005
          -5   1  7.495619691294931E-007
          -4   1  1.234201929498520E-006
          -3   1  2.354943848446658E-006
          -2   1  5.990301904716802E-006
          -1   1  3.166624314202892E-005
 time    1.4999999999999999E-004
          -5   1  1.124342953694240E-006
          -4   1  1.851302894247780E-006
          -3   1  3.532415772669987E-006
          -2   1  8.985452857075201E-006
          -1   1  4.749936471304338E-005
 time    1.9999999999999998E-004
          -5   1  1.499123938258986E-006
          -4   1  2.468403858997040E-006
          -3   1  4.709887696893316E-006
          -2   1  1.198060380943360E-005
          -1   1  6.333248628405784E-005
 time    2.9999999999999997E-004
          -5   1  2.248685907388479E-006
          -4   1  3.702605788495560E-006
          -3   1  7.064831545339972E-006
          -2   1  1.797090571415040E-005
          -1   1  9.499872942608674E-005
 time    3.9999999999999996E-004
          -5   1  2.998247876517971E-006
          -4   1  4.936807717994079E-006
          -3   1  9.419775393786629E-006
          -2   1  2.396120761886720E-005
          -1   1  1.266649725681156E-004
 time    5.9999999999999995E-004
          -5   1  4.497371814776957E-006
          -4   1  7.405211576991120E-006
          -3   1  1.412966309067994E-005
          -2   1  3.594181142830081E-005
          -1   1  1.899974588521735E-004
 time    7.9999999999999993E-004
          -5   1  5.996495753035942E-006
          -4   1  9.873615435988159E-006
          -3   1  1.883955078757326E-005
          -2   1  4.792241523773441E-005
          -1   1  2.533299451362313E-004
 time    1.0000000000000000E-003
          -5   1  7.495619691294929E-006
          -4   1  1.234201929498520E-005
          -3   1  2.354943848446658E-005
          -2   1  5.990301904716800E-005
          -1   1  3.166624314202892E-004
 time    1.5000000000000000E-003
          -5   1  1.124342953694239E-005
          -4   1  1.851302894247780E-005
          -3   1  3.532415772669986E-005
          -2   1  8.985452857075198E-005
          -1   1  4.749936471304338E-004
 time    2.0000000000000000E-003
          -5   1  1.499123938258986E-005
          -4   1  2.468403858997039E-005
          -3   1  4.709887696893314E-005
          -2   1  1.198060380943360E-004
          -1   1  6.333248628405783E-004
 time    3.0000000000000001E-003
          -5   1  2.248685907388478E-005
          -4   1  3.702605788495559E-005
          -3   1  7.064831545339972E-005
          -2   1  1.797090571415040E-004
          -1   1  9.499872942608674E-004
 time    4.0000000000000001E-003
          -5   1  2.998247876517971E-005
          -4   1  4.936807717994078E-005
          -3   1  9.419775393786629E-005
          -2   1  2.396120761886720E-004
          -1   1  1.266649725681156E-003
 time    6.0000000000000001E-003
          -5   1  4.497371814776956E-005
          -4   1  7.405211576991118E-005
          -3   1  1.412966309067994E-004
          -2   1  3.594181142830079E-004
          -1   1  1.899974588521735E-003
 time    8.0000000000000002E-003
          -5   1  5.996495753035942E-005
          -4   1  9.873615435988155E-005
          -3   1  1.883955078757326E-004
          -2   1  4.792241523773440E-004
          -1   1  2.533299451362313E-003
 time    1.0000000000000000E-002
          -5   1  7.495619691294928E-005
          -4   1  1.234201929498520E-004
          -3   1  2.354943848446657E-004
          -2   1  5.990301904716801E-004
          -1   1  3.166624314202891E-003
 time    1.4999999999999999E-002
          -5   1  1.124342953694239E-004
          -4   1  1.851302894247779E-004
          -3   1  3.532415772669985E-004
          -2   1  8.985452857075199E-004
          -1   1  4.749936471304336E-003
 time    2.0000000000000000E-002
          -5   1  1.499123938258986E-004
          -4   1  2.468403858997039E-004
          -3   1  4.709887696893315E-004
          -2   1  1.198060380943360E-003
          -1   1  6.333248628405782E-003
 time    2.9999999999999999E-002
          -5   1  2.248685907388478E-004
          -4   1  3.702605788495559E-004
          -3   1  7.064831545339971E-004
          -2   1  1.797090571415040E-003
          -1   1  9.499872942608673E-003
 time    4.0000000000000001E-002
          -5   1  2.998247876517971E-004
          -4   1  4.936807717994078E-004
          -3   1  9.419775393786629E-004
          -2   1  2.396120761886720E-003
          -1   1  1.266649725681156E-002
 time    5.9999999999999998E-002
          -5   1  4.497371814776957E-004
          -4   1  7.405211576991118E-004
          -3   1  1.412966309067994E-003
          -2   1  3.594181142830079E-003
