! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  4.190325702400300E-006  6.795467493040711E-004  5.880214704683130E-006  3.326521895830697E-002  3.747791180440558E-004  1.872180895252654E-011
  1.999999999999999E-001  2.995267506446679E-006  1.337327546191844E-003  3.862645652069902E-006  5.319796083014187E-002  6.955422863122953E-004  3.048583233241722E-011
  2.999999999999999E-001  2.419622056097600E-006  1.971131319276181E-003  3.003140719382494E-006  6.892035012600069E-002  9.929571357121226E-004  3.993480818827079E-011
  3.999999999999999E-001  2.078652237151936E-006  2.575438091828325E-003  2.520978639418816E-006  8.185831929335789E-002  1.274525931672943E-003  4.776958618075936E-011
  4.999999999999999E-001  1.849196053144798E-006  3.152932065165395E-003  2.206181281133569E-006  9.306465474135611E-002  1.546913362196485E-003  5.457209457316171E-011
  6.000000000000000E-001  1.684830811858069E-006  3.703038512944879E-003  1.984441855801327E-006  1.028577754892127E-001  1.812570057823055E-003  6.051329247399213E-011
  7.000000000000001E-001  1.562001986052393E-006  4.225719154328995E-003  1.820073856830556E-006  1.114433325131739E-001  2.073097742657667E-003  6.571037755426222E-011
  8.000000000000002E-001  1.467363816308582E-006  4.721407118991244E-003  1.693686769579968E-006  1.189691498616270E-001  2.329572377236300E-003  7.025250450908098E-011
  9.000000000000002E-001  1.392736529453429E-006  5.190943890686498E-003  1.593775101871159E-006  1.255512118069513E-001  2.582724598664034E-003  7.421270871537915E-011
  1.000000000000000E+000  1.334101443443591E-006  5.630058349480757E-003  1.514499686392007E-006  1.311157287106299E-001  2.832389559913806E-003  7.755108601413807E-011
  1.100000000000000E+000  1.286048928147257E-006  6.046582725557692E-003  1.448985227593560E-006  1.359615306252882E-001  3.079581958558378E-003  8.045423479771016E-011
  1.200000000000000E+000  1.246196743757748E-006  6.442082099513057E-003  1.394063119364456E-006  1.401582567785972E-001  3.324478838950531E-003  8.296660779849257E-011
  1.300000000000000E+000  1.212802752261059E-006  6.818193150863302E-003  1.347443054733302E-006  1.437704735938333E-001  3.567198295717256E-003  8.512937009787803E-011
  1.400000000000001E+000  1.184563956336925E-006  7.176567045230881E-003  1.307429840019814E-006  1.468581613754568E-001  3.807814672513521E-003  8.698052045896999E-011
  1.500000000000001E+000  1.160486971315098E-006  7.518823128801193E-003  1.272741871599477E-006  1.494769472287109E-001  4.046370649564514E-003  8.855497403314380E-011
  1.600000000000001E+000  1.139801942719660E-006  7.846513985030609E-003  1.242392764331278E-006  1.516782295542992E-001  4.282886722281823E-003  8.988464793320566E-011
  1.700000000000001E+000  1.121903721816616E-006  8.161101171466543E-003  1.215611758682871E-006  1.535092729854230E-001  4.517368547253271E-003  9.099856486923707E-011
  1.800000000000001E+000  1.106310709977931E-006  8.463940208491521E-003  1.191788754952209E-006  1.550133132898415E-001  4.749812569846961E-003  9.192297865373780E-011
  1.900000000000001E+000  1.092635477034935E-006  8.756273073093726E-003  1.170435456095030E-006  1.562296888242370E-001  4.980210279316576E-003  9.268151960019383E-011
  2.000000000000001E+000  1.080563410532711E-006  9.039226438731715E-003  1.151157324474213E-006  1.571940022968835E-001  5.208551374307104E-003  9.329535527130584E-011
  2.100000000000001E+000  1.069836951927269E-006  9.313814073842255E-003  1.133632966963566E-006  1.579383099275716E-001  5.434826067631925E-003  9.378336128095353E-011
  2.200000000000001E+000  1.060243785873060E-006  9.580942068114218E-003  1.117598728336736E-006  1.584913320913159E-001  5.659026714415911E-003  9.416229706848364E-011
  2.300000000000001E+000  1.051607868461397E-006  9.841415830779340E-003  1.102837004087101E-006  1.588786786216230E-001  5.881148911243058E-003  9.444698223293067E-011
  2.400000000000001E+000  1.043782521921118E-006  1.009594806048167E-002  1.089167253984801E-006  1.591230821612205E-001  6.101192184542336E-003  9.465046984091301E-011
  2.500000000000001E+000  1.036645052559232E-006  1.034516710398842E-002  1.076439006737522E-006  1.592446337040324E-001  6.319160362840070E-003  9.478421394404272E-011
  2.600000000000001E+000  1.030092505235511E-006  1.058962529634806E-002  1.064526353353347E-006  1.592610154384977E-001  6.535061708592547E-003  9.485822928225741E-011
  2.700000000000002E+000  1.024038276055772E-006  1.082980701052166E-002  1.053323568247508E-006  1.591877269966140E-001  6.748908870153655E-003  9.488124177965412E-011
  2.800000000000002E+000  1.018409380936567E-006  1.106613624567641E-002  1.042741595221934E-006  1.590383021425228E-001  6.960718702261756E-003  9.486082895640324E-011
