! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  4.132495351365672E-001  4.366009166799822E-001  4.633075813014123E-001  2.556643916426875E-001
  1.999999999999999E-001  4.305310924231910E-001  4.413749838047458E-001  4.621211718045611E-001  2.556634077216606E-001
  2.999999999999999E-001  4.422880597960105E-001  4.437814001455660E-001  4.629947859241844E-001  2.556646771971219E-001
  3.999999999999999E-001  4.516363361795316E-001  4.453039013549599E-001  4.649186924052548E-001  2.556662499751202E-001
  4.999999999999999E-001  4.591092595232775E-001  4.464399002410833E-001  4.672634777838421E-001  2.556678257184939E-001
  6.000000000000000E-001  4.653745160235678E-001  4.473367589346138E-001  4.698896995865180E-001  2.556693068238451E-001
  7.000000000000001E-001  4.708009432557888E-001  4.480635909599509E-001  4.727076284358814E-001  2.556706600465403E-001
  8.000000000000002E-001  4.756151614709711E-001  4.486582199838545E-001  4.756549556182719E-001  2.556718757417449E-001
  9.000000000000002E-001  4.799652085462277E-001  4.491439693879918E-001  4.786857672046662E-001  2.556729544316667E-001
  1.000000000000000E+000  4.839515650798723E-001  4.495368219393595E-001  4.817647575210679E-001  2.556739015738891E-001
  1.100000000000000E+000  4.876991002111164E-001  4.498265110164928E-001  4.849660519857208E-001  2.556746970811248E-001
  1.200000000000000E+000  4.911890199598342E-001  4.500504644234182E-001  4.881269469367636E-001  2.556753851358147E-001
  1.300000000000000E+000  4.944615332661346E-001  4.502159091732794E-001  4.912416567730999E-001  2.556759746965749E-001
  1.400000000000001E+000  4.975471230673645E-001  4.503292142053988E-001  4.943038131032824E-001  2.556764748076465E-001
  1.500000000000001E+000  5.004695149181454E-001  4.503961709618729E-001  4.973073739027942E-001  2.556768943648713E-001
  1.600000000000001E+000  5.032476556585174E-001  4.504220862908856E-001  5.002470691923934E-001  2.556772419127479E-001
  1.700000000000001E+000  5.058970420283262E-001  4.504118340176738E-001  5.031185920210829E-001  2.556775255144757E-001
  1.800000000000001E+000  5.084306184355191E-001  4.503698859107574E-001  5.059186472121761E-001  2.556777526743948E-001
  1.900000000000001E+000  5.108593886824455E-001  4.503003331034184E-001  5.086449207361000E-001  2.556779302983697E-001
  2.000000000000001E+000  5.131928381568154E-001  4.502069038107097E-001  5.112960059783715E-001  2.556780646816000E-001
  2.100000000000001E+000  5.154392307535426E-001  4.500929802639232E-001  5.138713083742436E-001  2.556781615160021E-001
  2.200000000000001E+000  5.176058230589794E-001  4.499616161607295E-001  5.163709413619946E-001  2.556782259112194E-001
