! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  3.592913612228492E-006  1.084881203956097E+000
  1.999999999999999E-001  1.250415723234573E-005  1.093347331872770E+000
  2.999999999999999E-001  2.514980442746473E-005  1.099117726587126E+000
  3.999999999999999E-001  4.099842785297080E-005  1.104024623171788E+000
  4.999999999999999E-001  5.891744550714788E-005  1.107833998910934E+000
  6.000000000000000E-001  7.838326375797832E-005  1.110948862034322E+000
  7.000000000000001E-001  9.899417148195480E-005  1.113576576375611E+000
  8.000000000000002E-001  1.204412081618538E-004  1.115841487528546E+000
  9.000000000000002E-001  1.424886504157760E-004  1.117825632399825E+000
  1.000000000000000E+000  1.650867188607428E-004  1.119672523481920E+000
  1.100000000000000E+000  1.879847426512579E-004  1.121319873390621E+000
  1.200000000000000E+000  2.110932710832007E-004  1.122806302140179E+000
  1.300000000000000E+000  2.343509822923455E-004  1.124161080370486E+000
  1.400000000000001E+000  2.577185130490571E-004  1.125406976866383E+000
  1.500000000000001E+000  2.811733819921986E-004  1.126562057359936E+000
  1.600000000000001E+000  3.047058396879422E-004  1.127640873404865E+000
  1.700000000000001E+000  3.283155075789882E-004  1.128655278563832E+000
  1.800000000000001E+000  3.520086864773553E-004  1.129615007360085E+000
  1.900000000000001E+000  3.757962293019829E-004  1.130528098039039E+000
  2.000000000000001E+000  3.996918846347393E-004  1.131401209634967E+000
  2.100000000000001E+000  4.237110284627381E-004  1.132239865881276E+000
  2.200000000000001E+000  4.478697117067483E-004  1.133048647473291E+000
  2.300000000000001E+000  4.721839609936125E-004  1.133831347133927E+000
  2.400000000000001E+000  4.966692795881593E-004  1.134591097261328E+000
  2.500000000000001E+000  5.213403042992863E-004  1.135330476781594E+000
  2.600000000000001E+000  5.462105823099751E-004  1.136051601688413E+000
  2.700000000000002E+000  5.712924390707644E-004  1.136756202316700E+000
  2.800000000000002E+000  5.965969145314762E-004  1.137445689462582E+000
  3.000000000000002E+000  6.481913009092135E-004  1.138827432184468E+000
  3.200000000000002E+000  7.008105647606297E-004  1.140154719069253E+000
  3.400000000000002E+000  7.544828402819509E-004  1.141432294147565E+000
  3.600000000000002E+000  8.092260158659194E-004  1.142663632721898E+000
  3.800000000000002E+000  8.650492736782246E-004  1.143851387315093E+000
  4.000000000000003E+000  9.219547656693593E-004  1.144997679633942E+000
  4.200000000000003E+000  9.799392164550719E-004  1.146104290644778E+000
  4.400000000000003E+000  1.038995333217102E-003  1.147172784345775E+000
  4.600000000000003E+000  1.099112968445735E-003  1.148204588730187E+000
  4.800000000000003E+000  1.160280026504649E-003  1.149201048998648E+000
  5.000000000000004E+000  1.222483133286311E-003  1.150163462469092E+000
  5.200000000000004E+000  1.285708103436917E-003  1.151093101068392E+000
  5.400000000000004E+000  1.349940245404015E-003  1.151991225115672E+000
  5.600000000000004E+000  1.415164544083697E-003  1.152859090825200E+000
  5.800000000000004E+000  1.481365756682476E-003  1.153697953214748E+000
  6.000000000000004E+000  1.548528451469614E-003  1.154509065671835E+000
  6.200000000000005E+000  1.616637012688773E-003  1.155293677161938E+000
  6.400000000000005E+000  1.685675628840271E-003  1.156053027877373E+000
  6.600000000000005E+000  1.755628276279808E-003  1.156788343979670E+000
  6.800000000000005E+000  1.826478705786231E-003  1.157500831961742E+000
  7.000000000000005E+000  1.898210436439263E-003  1.158191673041576E+000
  7.500000000000005E+000  2.082841226306560E-003  1.159887932449162E+000
  8.000000000000005E+000  2.272497042722350E-003  1.161465737887361E+000
  8.500000000000005E+000  2.466896322840327E-003  1.162942423971802E+000
  9.000000000000005E+000  2.665759312013184E-003  1.164332568783204E+000
  9.500000000000005E+000  2.868812450690666E-003  1.165648367631815E+000
  1.000000000000001E+001  3.075791274447580E-003  1.166899978707022E+000
  1.050000000000001E+001  3.286442328727159E-003  1.168095838039211E+000
  1.100000000000001E+001  3.500524367914291E-003  1.169242940032806E+000
  1.150000000000001E+001  3.717809013062844E-003  1.170347081910100E+000
  1.200000000000001E+001  3.938080998335204E-003  1.171413072796371E+000
  1.250000000000001E+001  4.161138109998495E-003  1.172444909930942E+000
  1.300000000000001E+001  4.386790902071371E-003  1.173445925477247E+000
  1.350000000000001E+001  4.614862255978190E-003  1.174418907777393E+000
  1.400000000000001E+001  4.845186837104620E-003  1.175366200855601E+000
  1.450000000000001E+001  5.077610488887952E-003  1.176289785693454E+000
  1.500000000000001E+001  5.311989594965573E-003  1.177191346403172E+000
  1.550000000000001E+001  5.548190431785088E-003  1.178072323993490E+000
  1.600000000000001E+001  5.786088527702350E-003  1.178933960003884E+000
  1.650000000000001E+001  6.025568039679486E-003  1.179777331901148E+000
  1.700000000000001E+001  6.266521154970357E-003  1.180603381798114E+000
  1.750000000000001E+001  6.508847522400211E-003  1.181412939769286E+000
  1.800000000000001E+001  6.752453715801706E-003  1.182206742799568E+000
  1.900000000000001E+001  7.244161844437320E-003  1.183788926217559E+000
  2.000000000000001E+001  7.739802954293002E-003  1.185309889129124E+000
  2.100000000000001E+001  8.238868415548705E-003  1.186774158053886E+000
  2.200000000000001E+001  8.740911601138586E-003  1.188185560412128E+000
  2.300000000000001E+001  9.245541595851725E-003  1.189547441929770E+000
  2.400000000000001E+001  9.752415811006670E-003  1.190862775311924E+000
  2.500000000000001E+001  1.026123340743548E-002  1.192134231766087E+000
  2.600000000000001E+001  1.077172966552406E-002  1.193364232911458E+000
  2.700000000000001E+001  1.128367118893358E-002  1.194554989899010E+000
  2.800000000000001E+001  1.179685181294277E-002  1.195708533577604E+000
  2.900000000000001E+001  1.231108910534996E-002  1.196826738213325E+000
  3.000000000000001E+001  1.282622136631994E-002  1.197911340483200E+000
  3.100000000000001E+001  1.334210504934494E-002  1.198963954949053E+000
  3.200000000000001E+001  1.385861253853976E-002  1.199986086868009E+000
  3.300000000000001E+001  1.437563022823354E-002  1.200979142955808E+000
  3.400000000000001E+001  1.489305685967083E-002  1.201944440551820E+000
  3.600000000000001E+001  1.592888961386425E-002  1.203832197589123E+000
  3.800000000000001E+001  1.696518343852299E-002  1.205616428351925E+000
  4.000000000000001E+001  1.800149533665367E-002  1.207306399595953E+000
  4.200000000000001E+001  1.903746695670273E-002  1.208910211761637E+000
  4.400000000000001E+001  2.007280923240687E-002  1.210435017589904E+000
  4.600000000000001E+001  2.110728901633478E-002  1.211887165464927E+000
  4.800000000000001E+001  2.214071844050760E-002  1.213272314852625E+000
  5.000000000000001E+001  2.317294644199135E-002  1.214595531499256E+000
  5.200000000000001E+001  2.420385197543877E-002  1.215861366595917E+000
