! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999998E-002  0.000000000000000E+000  0.000000000000000E+000
  1.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  2.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  3.999999999999999E-001 -9.553287215652047E-262  0.000000000000000E+000
  4.999999999999999E-001  1.147814573738724E-249  0.000000000000000E+000
  6.000000000000000E-001  2.400606657488587E-236  0.000000000000000E+000
  7.000000000000001E-001  2.414848827755941E-225  0.000000000000000E+000
  8.000000000000002E-001  1.727991639953421E-216  0.000000000000000E+000
  9.000000000000002E-001  3.711665943766291E-209  0.000000000000000E+000
  1.000000000000000E+000  6.141599468800552E-203  0.000000000000000E+000
  1.100000000000000E+000  9.629184864957344E-152  0.000000000000000E+000
  1.200000000000000E+000  9.168376456793229E-148  0.000000000000000E+000
  1.300000000000000E+000  2.174445798566804E-144  0.000000000000000E+000
  1.400000000000001E+000  2.413423481892609E-141  0.000000000000000E+000
  1.500000000000001E+000  1.610410635517071E-138  0.000000000000000E+000
  1.600000000000001E+000  6.342663430629637E-136  0.000000000000000E+000
  1.700000000000001E+000  1.462861377871448E-133  0.000000000000000E+000
  1.800000000000001E+000  2.080262291405623E-131  0.000000000000000E+000
  1.900000000000001E+000  1.950642672275375E-129  0.000000000000000E+000
  2.000000000000001E+000  1.282768490643088E-127  0.000000000000000E+000
  2.100000000000001E+000  6.229290330419706E-126  0.000000000000000E+000
  2.200000000000001E+000  2.330049929646354E-124  0.000000000000000E+000
  2.300000000000001E+000  6.948238968728533E-123  0.000000000000000E+000
  2.400000000000001E+000  1.699176385920127E-121  0.000000000000000E+000
  2.500000000000001E+000  3.488345618537224E-120  0.000000000000000E+000
  2.600000000000001E+000  6.130745290994238E-119  0.000000000000000E+000
  2.700000000000002E+000  9.377458460530689E-118  0.000000000000000E+000
  2.800000000000002E+000  1.265988072568228E-116  0.000000000000000E+000
  2.900000000000002E+000  1.526758360197110E-115  0.000000000000000E+000
  3.000000000000002E+000  1.661942146834153E-114  0.000000000000000E+000
  3.100000000000002E+000  1.647717533354723E-113  0.000000000000000E+000
  3.200000000000002E+000  1.499658709905154E-112  0.000000000000000E+000
  3.400000000000002E+000  3.297858935287946E-093  0.000000000000000E+000
  3.600000000000002E+000  2.124588574269029E-091  0.000000000000000E+000
  3.800000000000002E+000  6.822827545878759E-090  0.000000000000000E+000
  4.000000000000003E+000  1.461623043085670E-088  0.000000000000000E+000
  4.200000000000003E+000  2.356374215289640E-087  0.000000000000000E+000
  4.400000000000003E+000  3.055809031735158E-086  0.000000000000000E+000
  4.600000000000003E+000  3.325751754558580E-085  0.000000000000000E+000
  4.800000000000003E+000  3.128069747177296E-084  0.000000000000000E+000
  5.000000000000004E+000  2.597858823302789E-083  0.000000000000000E+000
  5.200000000000004E+000  1.936512609957401E-082  0.000000000000000E+000
  5.400000000000004E+000  1.312448943028743E-081  0.000000000000000E+000
  5.600000000000004E+000  8.171548925613047E-081  0.000000000000000E+000
  5.800000000000004E+000  4.713931649597832E-080  0.000000000000000E+000
  6.000000000000004E+000  2.537490071263673E-079  0.000000000000000E+000
  6.200000000000005E+000  1.282265265181487E-078  0.000000000000000E+000
  6.400000000000005E+000  6.114184157202222E-078  0.000000000000000E+000
  6.600000000000005E+000  2.763243078763076E-077  0.000000000000000E+000
  6.800000000000005E+000  1.188246422838367E-076  0.000000000000000E+000
  7.000000000000005E+000  4.878483876015409E-076  0.000000000000000E+000
  7.500000000000005E+000  2.012089121174187E-064  0.000000000000000E+000
  8.000000000000005E+000  6.469368465428097E-063  0.000000000000000E+000
  8.500000000000005E+000  1.067801615224528E-061  0.000000000000000E+000
  9.000000000000005E+000  1.205532728289899E-060  0.000000000000000E+000
  9.500000000000005E+000  1.046592064814675E-059  0.000000000000000E+000
  1.000000000000001E+001  7.447638199504755E-059  0.000000000000000E+000
  1.050000000000001E+001  4.522181782316098E-058  0.000000000000000E+000
  1.100000000000001E+001  2.408420076022738E-057  0.000000000000000E+000
  1.150000000000001E+001  1.147819304834131E-056  0.000000000000000E+000
  1.200000000000001E+001  4.970196409587381E-056  0.000000000000000E+000
  1.250000000000001E+001  1.978806988380038E-055  0.000000000000000E+000
  1.300000000000001E+001  7.313357914202101E-055  0.000000000000000E+000
  1.350000000000001E+001  2.528822853362289E-054  0.000000000000000E+000
  1.400000000000001E+001  8.234664434861816E-054  0.000000000000000E+000
  1.450000000000001E+001  2.539205496761283E-053  0.000000000000000E+000
  1.500000000000001E+001  7.449477485688790E-053  0.000000000000000E+000
  1.550000000000001E+001  2.087866316371992E-052  0.000000000000000E+000
  1.600000000000001E+001  5.610147510500094E-052  0.000000000000000E+000
  1.650000000000001E+001  1.449769628039529E-051  0.000000000000000E+000
